dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,1,373.84,0.0,12.34,41.48,1.13,4.48,5.54,0.11
2022-01-01 01:00:00+00:00,1,350.48,0.0,9.85,43.27,1.01,4.01,4.89,0.07
2022-01-01 02:00:00+00:00,1,327.11,0.0,6.94,47.21,0.83,3.62,4.33,0.04
2022-01-01 03:00:00+00:00,1,313.76,0.0,5.23,50.07,0.69,3.34,3.93,0.03
2022-01-01 04:00:00+00:00,1,303.75,0.0,4.37,53.64,0.61,3.06,3.57,0.03
2022-01-01 05:00:00+00:00,1,290.39,0.0,3.51,57.22,0.54,2.63,3.16,0.01
2022-01-01 06:00:00+00:00,1,273.7,0.0,2.72,59.37,0.57,2.36,2.97,0.0
2022-01-01 07:00:00+00:00,1,260.35,0.0,2.46,60.8,0.69,2.48,3.26,0.0
2022-01-01 08:00:00+00:00,1,257.02,0.0,2.63,61.51,0.78,2.72,3.65,0.0
2022-01-01 09:00:00+00:00,1,253.68,0.0,2.59,64.37,0.81,2.73,3.67,0.0
2022-01-01 10:00:00+00:00,1,253.68,0.0,2.46,66.52,0.8,2.61,3.47,0.0
2022-01-01 11:00:00+00:00,1,257.02,0.0,2.55,67.23,0.77,2.52,3.32,0.0
2022-01-01 12:00:00+00:00,1,257.02,0.0,2.87,67.23,0.73,2.49,3.37,0.0
2022-01-01 13:00:00+00:00,1,263.69,0.0,3.51,67.23,0.67,2.5,3.31,0.0
2022-01-01 14:00:00+00:00,1,267.03,0.02,3.9,66.52,0.61,2.45,3.12,0.0
2022-01-01 15:00:00+00:00,1,263.69,0.06,3.86,65.8,0.53,2.27,2.76,0.0
2022-01-01 16:00:00+00:00,1,263.69,0.1,3.43,65.8,0.43,1.99,2.25,0.0
2022-01-01 17:00:00+00:00,1,263.69,0.1,2.91,65.09,0.36,1.81,1.95,0.0
2022-01-01 18:00:00+00:00,1,263.69,0.09,2.66,65.8,0.35,1.83,1.95,0.0
2022-01-01 19:00:00+00:00,1,263.69,0.08,2.55,67.23,0.38,1.96,2.11,0.0
2022-01-01 20:00:00+00:00,1,263.69,0.04,2.68,67.23,0.4,2.1,2.3,0.0
2022-01-01 21:00:00+00:00,1,267.03,0.01,2.91,65.09,0.4,2.29,2.54,0.0
2022-01-01 22:00:00+00:00,1,273.7,0.0,3.64,61.51,0.38,2.65,2.97,0.01
2022-01-01 23:00:00+00:00,1,280.38,0.0,5.14,56.51,0.38,3.14,3.53,0.06
2022-01-02 00:00:00+00:00,1,287.06,0.0,6.43,50.78,0.42,3.52,4.04,0.1
2022-01-02 01:00:00+00:00,1,290.39,0.0,7.63,43.63,0.72,3.69,4.33,0.1
2022-01-02 02:00:00+00:00,1,300.41,0.0,9.0,36.84,1.07,3.96,4.62,0.11
2022-01-02 03:00:00+00:00,1,320.43,0.0,10.54,31.11,1.31,4.56,5.19,0.14
2022-01-02 04:00:00+00:00,1,353.81,0.0,13.02,26.46,1.37,5.55,6.18,0.19
2022-01-02 05:00:00+00:00,1,377.18,0.0,14.91,23.25,1.4,6.24,6.83,0.23
2022-01-02 06:00:00+00:00,1,383.85,0.0,15.42,21.99,1.43,6.62,7.16,0.21
2022-01-02 07:00:00+00:00,1,380.52,0.0,14.74,21.64,1.33,6.48,6.96,0.12
2022-01-02 08:00:00+00:00,1,363.83,0.0,12.68,20.74,1.01,5.51,5.93,0.06
2022-01-02 09:00:00+00:00,1,340.46,0.0,10.28,20.03,0.64,4.22,4.57,0.04
2022-01-02 10:00:00+00:00,1,320.43,0.0,8.4,20.74,0.47,3.46,3.8,0.0
2022-01-02 11:00:00+00:00,1,317.1,0.0,8.65,18.78,0.45,3.62,4.01,0.0
2022-01-02 12:00:00+00:00,1,320.43,0.01,9.25,18.6,0.45,3.87,4.35,0.01
2022-01-02 13:00:00+00:00,1,317.1,0.01,8.05,23.25,0.49,3.31,3.97,0.0
2022-01-02 14:00:00+00:00,1,313.76,0.1,7.28,27.18,0.57,2.72,3.72,0.0
2022-01-02 15:00:00+00:00,1,310.42,0.27,6.68,30.04,0.73,2.47,3.63,0.0
2022-01-02 16:00:00+00:00,1,310.42,0.5,6.34,31.47,0.86,2.55,3.57,0.0
2022-01-02 17:00:00+00:00,1,313.76,0.59,6.43,32.19,0.95,2.6,3.43,0.0
2022-01-02 18:00:00+00:00,1,320.43,0.55,6.94,32.19,1.01,2.66,3.53,0.0
2022-01-02 19:00:00+00:00,1,337.12,0.53,9.17,27.54,1.03,3.38,4.51,0.01
2022-01-02 20:00:00+00:00,1,377.18,0.5,14.05,16.45,0.91,5.02,6.3,0.05
2022-01-02 21:00:00+00:00,1,420.57,0.89,21.59,5.14,1.22,7.06,8.47,0.09
2022-01-02 22:00:00+00:00,1,473.98,5.64,28.1,0.25,2.03,9.89,11.45,0.13
2022-01-02 23:00:00+00:00,2,547.41,18.1,30.5,0.0,3.16,13.49,15.06,0.17
2022-01-03 00:00:00+00:00,2,534.06,15.2,29.82,0.0,2.98,10.97,12.08,0.14
2022-01-03 01:00:00+00:00,1,460.62,2.4,28.1,1.52,2.21,4.65,5.3,0.18
2022-01-03 02:00:00+00:00,1,413.89,0.02,19.19,13.59,1.97,2.44,3.35,0.23
2022-01-03 03:00:00+00:00,1,363.83,0.0,11.48,31.47,1.74,1.39,2.33,0.24
2022-01-03 04:00:00+00:00,1,323.77,0.0,6.85,49.35,1.53,0.74,1.36,0.24
2022-01-03 05:00:00+00:00,1,310.42,0.0,4.58,54.36,1.48,0.5,0.89,0.24
2022-01-03 06:00:00+00:00,1,310.42,0.0,3.86,52.21,1.4,0.5,0.78,0.24
2022-01-03 07:00:00+00:00,1,310.42,0.0,3.3,51.5,1.24,0.5,0.7,0.22
2022-01-03 08:00:00+00:00,1,300.41,0.0,2.57,56.51,1.12,0.5,0.68,0.23
2022-01-03 09:00:00+00:00,1,287.06,0.0,2.01,62.23,1.03,0.5,0.67,0.26
2022-01-03 10:00:00+00:00,1,283.72,0.0,1.67,66.52,0.95,0.5,0.65,0.25
2022-01-03 11:00:00+00:00,1,280.38,0.0,1.39,68.66,0.83,0.5,0.65,0.26
2022-01-03 12:00:00+00:00,1,267.03,0.0,1.14,76.53,0.63,0.5,0.72,0.26
