dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,487.33,0.8,32.22,5.1,1.13,11.26,13.59,0.18
2022-01-01 01:00:00+00:00,1,447.27,0.15,24.68,12.7,0.9,9.4,11.27,0.17
2022-01-01 02:00:00+00:00,1,413.89,0.03,17.99,21.28,0.76,8.07,9.71,0.15
2022-01-01 03:00:00+00:00,1,383.85,0.01,13.02,28.97,0.66,7.1,8.59,0.13
2022-01-01 04:00:00+00:00,1,367.16,0.01,11.14,31.47,0.48,6.63,8.21,0.15
2022-01-01 05:00:00+00:00,1,357.15,0.01,10.62,30.04,0.33,6.42,7.9,0.1
2022-01-01 06:00:00+00:00,1,333.79,0.0,8.83,30.04,0.28,5.79,7.01,0.06
2022-01-01 07:00:00+00:00,1,313.76,0.0,6.77,31.11,0.28,4.97,5.96,0.04
2022-01-01 08:00:00+00:00,1,293.73,0.0,5.01,32.54,0.34,4.19,5.04,0.02
2022-01-01 09:00:00+00:00,1,283.72,0.0,3.81,36.84,0.48,3.56,4.43,0.0
2022-01-01 10:00:00+00:00,1,277.04,0.0,3.08,45.06,0.66,3.03,4.05,0.0
2022-01-01 11:00:00+00:00,1,273.7,0.0,2.83,48.64,0.62,2.87,3.99,0.0
2022-01-01 12:00:00+00:00,1,280.38,0.0,3.43,50.78,0.58,2.96,4.2,0.0
2022-01-01 13:00:00+00:00,1,283.72,0.0,4.76,50.78,0.65,3.02,4.15,0.02
2022-01-01 14:00:00+00:00,1,283.72,0.02,5.36,50.07,0.68,2.82,3.64,0.05
2022-01-01 15:00:00+00:00,1,277.04,0.05,4.5,51.5,0.63,2.51,3.07,0.03
2022-01-01 16:00:00+00:00,1,267.03,0.07,3.13,55.79,0.47,2.21,2.62,0.01
2022-01-01 17:00:00+00:00,1,263.69,0.07,2.7,57.22,0.41,2.14,2.55,0.01
2022-01-01 18:00:00+00:00,1,260.35,0.07,2.83,55.79,0.45,2.26,2.7,0.01
