dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,1,310.42,0.0,4.11,50.07,0.39,3.55,4.07,0.0
2022-01-01 01:00:00+00:00,1,293.73,0.0,3.0,54.36,0.32,3.08,3.57,0.0
2022-01-01 02:00:00+00:00,1,277.04,0.0,2.14,58.65,0.31,2.72,3.37,0.0
2022-01-01 03:00:00+00:00,1,263.69,0.0,1.93,60.8,0.41,2.57,3.53,0.0
2022-01-01 04:00:00+00:00,1,257.02,0.0,2.33,60.8,0.61,2.61,3.84,0.0
2022-01-01 05:00:00+00:00,1,250.34,0.0,2.78,59.37,0.69,2.62,3.97,0.0
2022-01-01 06:00:00+00:00,1,250.34,0.0,2.78,59.37,0.65,2.51,3.92,0.0
2022-01-01 07:00:00+00:00,1,250.34,0.0,2.51,60.08,0.56,2.31,3.71,0.0
2022-01-01 08:00:00+00:00,1,247.0,0.0,2.29,61.51,0.51,2.13,3.43,0.0
2022-01-01 09:00:00+00:00,1,247.0,0.0,2.16,62.23,0.5,2.01,3.14,0.0
2022-01-01 10:00:00+00:00,1,247.0,0.0,2.14,62.23,0.5,1.97,3.0,0.0
2022-01-01 11:00:00+00:00,1,247.0,0.0,2.14,62.23,0.49,1.97,2.99,0.0
2022-01-01 12:00:00+00:00,1,250.34,0.0,2.33,62.23,0.48,2.01,2.99,0.0
2022-01-01 13:00:00+00:00,1,253.68,0.0,2.55,60.8,0.45,1.96,2.76,0.0
2022-01-01 14:00:00+00:00,1,253.68,0.01,2.42,60.8,0.36,1.79,2.31,0.0
2022-01-01 15:00:00+00:00,1,253.68,0.04,2.03,61.51,0.28,1.65,1.93,0.0
2022-01-01 16:00:00+00:00,1,253.68,0.05,1.59,62.94,0.24,1.71,1.86,0.0
2022-01-01 17:00:00+00:00,1,257.02,0.05,1.39,63.66,0.25,1.86,2.03,0.0
2022-01-01 18:00:00+00:00,1,257.02,0.04,1.26,65.09,0.27,1.93,2.12,0.0
2022-01-01 19:00:00+00:00,1,257.02,0.04,1.29,65.8,0.29,1.98,2.22,0.0
2022-01-01 20:00:00+00:00,1,253.68,0.02,1.46,64.37,0.3,2.14,2.42,0.0
2022-01-01 21:00:00+00:00,1,253.68,0.01,1.67,62.23,0.32,2.49,2.78,0.0
2022-01-01 22:00:00+00:00,1,250.34,0.0,2.06,59.37,0.34,2.98,3.19,0.0
2022-01-01 23:00:00+00:00,1,257.02,0.0,2.72,52.93,0.37,3.38,3.53,0.0
2022-01-02 00:00:00+00:00,1,263.69,0.0,3.43,46.49,0.45,3.69,3.86,0.0
2022-01-02 01:00:00+00:00,1,273.7,0.0,4.84,38.62,0.44,3.84,4.09,0.02
2022-01-02 02:00:00+00:00,1,283.72,0.0,6.25,31.11,0.36,3.92,4.23,0.04
2022-01-02 03:00:00+00:00,1,287.06,0.0,6.94,25.75,0.33,4.0,4.32,0.04
2022-01-02 04:00:00+00:00,1,290.39,0.01,7.11,21.82,0.29,3.97,4.29,0.04
2022-01-02 05:00:00+00:00,1,287.06,0.01,6.68,19.31,0.28,3.87,4.16,0.02
2022-01-02 06:00:00+00:00,1,287.06,0.0,5.91,20.38,0.35,3.64,3.92,0.01
2022-01-02 07:00:00+00:00,1,283.72,0.0,5.18,23.96,0.39,3.31,3.56,0.0
2022-01-02 08:00:00+00:00,1,280.38,0.0,4.67,25.75,0.38,3.02,3.25,0.0
2022-01-02 09:00:00+00:00,1,277.04,0.0,4.11,26.82,0.37,2.77,3.02,0.0
2022-01-02 10:00:00+00:00,1,277.04,0.0,4.16,26.11,0.39,2.71,2.94,0.0
2022-01-02 11:00:00+00:00,1,297.07,0.0,6.0,23.6,0.48,3.17,3.39,0.0
2022-01-02 12:00:00+00:00,1,330.45,0.01,9.25,19.85,0.58,3.96,4.18,0.0
2022-01-02 13:00:00+00:00,1,350.48,0.05,12.17,16.81,0.76,4.58,4.85,0.0
2022-01-02 14:00:00+00:00,1,360.49,0.55,13.37,13.23,0.66,4.91,5.28,0.04
