dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,594.14,13.63,50.04,0.0,5.07,18.33,22.35,0.23
2022-01-01 01:00:00+00:00,2,554.08,6.48,45.24,0.18,3.1,16.34,20.17,0.2
2022-01-01 02:00:00+00:00,2,500.68,2.15,38.04,1.86,1.83,13.72,16.79,0.19
2022-01-01 03:00:00+00:00,2,460.62,0.52,30.85,7.24,1.45,11.15,13.55,0.18
2022-01-01 04:00:00+00:00,1,433.92,0.22,26.05,12.16,1.16,9.57,11.74,0.18
2022-01-01 05:00:00+00:00,1,420.57,0.11,22.96,14.48,0.86,8.72,10.65,0.14
2022-01-01 06:00:00+00:00,1,403.88,0.04,19.36,16.99,0.72,8.08,9.71,0.1
2022-01-01 07:00:00+00:00,1,390.53,0.03,16.79,18.78,0.65,7.78,9.17,0.07
2022-01-01 08:00:00+00:00,1,377.18,0.03,14.57,19.67,0.6,7.5,8.74,0.07
2022-01-01 09:00:00+00:00,1,360.49,0.03,12.68,20.38,0.59,7.14,8.32,0.08
2022-01-01 10:00:00+00:00,1,343.8,0.03,11.31,20.74,0.61,6.7,7.93,0.09
2022-01-01 11:00:00+00:00,1,327.11,0.04,10.54,20.92,0.6,6.2,7.57,0.1
2022-01-01 12:00:00+00:00,1,323.77,0.09,11.65,21.46,0.63,5.86,7.67,0.17
2022-01-01 13:00:00+00:00,1,327.11,0.09,13.88,24.68,0.9,5.31,7.2,0.23
2022-01-01 14:00:00+00:00,1,330.45,0.13,14.39,29.68,1.25,4.44,6.05,0.22
2022-01-01 15:00:00+00:00,1,317.1,0.28,12.34,36.12,1.55,3.51,4.77,0.18
2022-01-01 16:00:00+00:00,1,293.73,0.26,8.05,44.7,1.34,2.73,3.56,0.11
2022-01-01 17:00:00+00:00,1,280.38,0.19,5.91,48.64,0.74,2.56,3.22,0.09
2022-01-01 18:00:00+00:00,1,277.04,0.18,6.51,49.35,0.65,2.26,2.85,0.08
2022-01-01 19:00:00+00:00,1,280.38,0.33,8.74,45.78,0.82,2.46,3.22,0.11
2022-01-01 20:00:00+00:00,1,290.39,0.23,10.62,40.41,0.95,2.92,3.91,0.14
2022-01-01 21:00:00+00:00,1,293.73,0.08,12.34,35.05,0.97,3.24,4.39,0.16
2022-01-01 22:00:00+00:00,1,330.45,0.17,18.16,22.53,0.63,4.12,5.66,0.21
2022-01-01 23:00:00+00:00,1,387.19,1.36,25.36,7.78,0.37,5.62,7.95,0.29
2022-01-02 00:00:00+00:00,1,433.92,4.53,26.39,1.59,0.28,7.36,10.67,0.41
2022-01-02 01:00:00+00:00,2,500.68,12.63,22.62,0.1,0.26,10.5,14.87,0.7
2022-01-02 02:00:00+00:00,2,580.79,23.47,18.51,0.0,0.31,14.93,19.47,1.22
2022-01-02 03:00:00+00:00,3,667.57,36.21,16.62,0.0,0.51,20.22,24.53,2.06
