dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,4,767.71,44.26,58.95,0.0,6.14,29.66,34.39,0.79
2022-01-01 01:00:00+00:00,3,687.6,29.5,54.15,0.0,5.78,24.21,29.23,0.78
2022-01-01 02:00:00+00:00,3,647.54,21.01,50.04,0.0,4.59,22.2,27.48,0.76
2022-01-01 03:00:00+00:00,2,600.81,15.42,43.87,0.03,3.28,19.57,24.01,0.7
2022-01-01 04:00:00+00:00,2,534.06,8.83,39.41,0.31,2.56,15.59,18.87,0.53
2022-01-01 05:00:00+00:00,2,473.98,3.19,36.33,1.99,2.38,12.07,14.38,0.33
2022-01-01 06:00:00+00:00,2,433.92,0.63,31.87,7.06,2.24,10.11,11.78,0.18
2022-01-01 07:00:00+00:00,1,427.25,0.5,28.79,7.78,1.49,9.68,11.14,0.17
2022-01-01 08:00:00+00:00,2,433.92,0.91,27.42,5.23,1.1,10.0,11.45,0.2
2022-01-01 09:00:00+00:00,2,433.92,1.44,25.7,3.62,1.16,10.57,12.03,0.24
2022-01-01 10:00:00+00:00,2,440.6,2.24,25.36,2.26,1.46,11.24,12.68,0.27
2022-01-01 11:00:00+00:00,2,440.6,3.27,25.36,1.52,1.74,11.68,13.11,0.3
2022-01-01 12:00:00+00:00,2,467.3,7.26,27.08,0.6,2.0,12.92,14.83,0.54
2022-01-01 13:00:00+00:00,2,494.0,10.62,31.87,0.41,2.68,13.4,15.66,0.78
2022-01-01 14:00:00+00:00,2,494.0,9.61,36.33,1.14,2.95,12.18,14.31,0.81
2022-01-01 15:00:00+00:00,1,447.27,4.75,34.96,6.97,3.34,9.43,11.11,0.69
2022-01-01 16:00:00+00:00,1,363.83,1.26,22.96,24.32,3.46,5.42,6.51,0.46
2022-01-01 17:00:00+00:00,1,330.45,0.7,16.45,32.19,2.62,4.04,4.89,0.36
2022-01-01 18:00:00+00:00,1,310.42,0.45,14.39,35.41,1.97,3.39,4.15,0.31
2022-01-01 19:00:00+00:00,1,323.77,0.71,17.82,29.68,1.51,3.62,4.67,0.34
2022-01-01 20:00:00+00:00,1,347.14,0.76,22.28,20.21,1.28,4.34,5.84,0.4
2022-01-01 21:00:00+00:00,1,360.49,0.77,24.68,13.59,1.13,4.79,6.63,0.45
2022-01-01 22:00:00+00:00,1,447.27,9.16,29.47,2.12,0.85,7.13,9.62,0.69
2022-01-01 23:00:00+00:00,2,574.11,29.95,25.36,0.01,0.67,11.11,14.42,1.04
2022-01-02 00:00:00+00:00,2,660.9,42.47,22.28,0.0,0.66,15.16,19.44,1.58
2022-01-02 01:00:00+00:00,3,747.68,53.2,21.25,0.0,0.77,20.41,25.04,2.03
2022-01-02 02:00:00+00:00,3,794.41,61.69,20.39,0.0,0.8,24.71,28.99,1.61
2022-01-02 03:00:00+00:00,4,794.41,62.58,20.39,0.0,0.86,25.63,29.38,1.2
2022-01-02 04:00:00+00:00,4,787.73,63.48,21.25,0.0,1.04,25.55,28.58,0.89
2022-01-02 05:00:00+00:00,4,867.84,76.89,22.96,0.0,1.34,29.32,31.53,0.62
2022-01-02 06:00:00+00:00,4,907.9,83.15,26.05,0.0,1.83,30.88,32.46,0.43
2022-01-02 07:00:00+00:00,3,807.76,61.69,28.1,0.0,2.35,24.74,25.85,0.3
2022-01-02 08:00:00+00:00,2,654.22,36.66,25.36,0.0,2.03,17.5,18.34,0.22
2022-01-02 09:00:00+00:00,2,534.06,19.22,22.62,0.01,1.83,12.58,13.15,0.17
2022-01-02 10:00:00+00:00,1,440.6,6.26,23.99,0.27,2.26,9.25,9.67,0.1
2022-01-02 11:00:00+00:00,1,440.6,5.14,25.02,0.17,2.21,9.51,10.07,0.14
2022-01-02 12:00:00+00:00,2,473.98,8.16,26.39,0.04,2.44,11.07,12.01,0.3
2022-01-02 13:00:00+00:00,2,520.71,13.19,27.76,0.02,2.86,13.02,14.53,0.54
2022-01-02 14:00:00+00:00,2,554.08,16.99,28.1,0.33,3.28,14.43,16.42,0.65
2022-01-02 15:00:00+00:00,2,567.44,19.22,27.76,1.06,3.73,15.25,17.63,0.7
2022-01-02 16:00:00+00:00,2,567.44,20.34,27.08,1.01,4.05,15.54,18.29,0.69
2022-01-02 17:00:00+00:00,2,567.44,20.34,26.05,1.02,3.93,15.22,18.21,0.59
2022-01-02 18:00:00+00:00,2,560.76,19.0,25.7,1.01,3.58,14.24,17.25,0.49
2022-01-02 19:00:00+00:00,2,520.71,12.74,24.68,1.34,2.74,11.08,13.29,0.35
2022-01-02 20:00:00+00:00,1,467.3,7.6,22.62,1.29,2.0,7.89,9.32,0.3
2022-01-02 21:00:00+00:00,1,447.27,5.03,22.28,0.89,1.49,6.06,7.1,0.26
2022-01-02 22:00:00+00:00,1,453.95,2.21,23.31,2.77,1.31,4.66,5.48,0.25
2022-01-02 23:00:00+00:00,1,440.6,0.54,19.71,10.91,1.27,3.22,3.94,0.24
2022-01-03 00:00:00+00:00,1,393.87,0.12,13.37,22.71,1.24,2.0,2.66,0.24
2022-01-03 01:00:00+00:00,1,350.48,0.02,8.91,37.55,1.13,1.23,1.83,0.27
2022-01-03 02:00:00+00:00,1,323.77,0.01,6.94,49.35,0.95,0.94,1.51,0.35
2022-01-03 03:00:00+00:00,1,310.42,0.0,6.0,55.07,0.9,0.81,1.37,0.45
2022-01-03 04:00:00+00:00,1,300.41,0.0,5.57,58.65,1.04,0.73,1.24,0.5
2022-01-03 05:00:00+00:00,1,293.73,0.0,5.01,65.09,1.19,0.57,0.95,0.46
2022-01-03 06:00:00+00:00,1,287.06,0.0,5.4,69.38,1.61,0.65,1.01,0.47
2022-01-03 07:00:00+00:00,1,283.72,0.0,6.0,68.66,2.12,0.93,1.31,0.46
2022-01-03 08:00:00+00:00,1,290.39,0.0,6.6,66.52,2.47,1.17,1.58,0.46
2022-01-03 09:00:00+00:00,1,293.73,0.0,7.28,63.66,2.77,1.4,1.84,0.48
2022-01-03 10:00:00+00:00,1,300.41,0.0,8.14,60.8,3.04,1.64,2.13,0.52
2022-01-03 11:00:00+00:00,1,310.42,0.0,9.77,57.22,3.4,1.98,2.59,0.63
2022-01-03 12:00:00+00:00,1,327.11,0.01,13.71,52.93,3.81,2.71,3.65,0.89
2022-01-03 13:00:00+00:00,1,347.14,0.05,19.19,47.92,4.59,3.54,4.85,1.25
2022-01-03 14:00:00+00:00,1,353.81,0.37,21.25,48.64,5.13,3.75,5.28,1.41
2022-01-03 15:00:00+00:00,1,353.81,1.02,20.56,52.93,5.48,3.68,5.31,1.41
2022-01-03 16:00:00+00:00,1,350.48,1.68,19.54,55.07,5.66,3.63,5.27,1.39
2022-01-03 17:00:00+00:00,1,353.81,1.98,18.51,56.51,5.3,3.71,5.31,1.36
2022-01-03 18:00:00+00:00,1,333.79,1.44,14.91,65.09,3.58,2.6,3.93,1.06
2022-01-03 19:00:00+00:00,1,307.08,0.64,11.48,75.1,2.21,1.49,2.6,0.78
2022-01-03 20:00:00+00:00,1,300.41,0.24,11.31,77.96,1.94,1.29,2.36,0.74
2022-01-03 21:00:00+00:00,2,300.41,0.06,11.31,80.11,1.79,1.21,2.29,0.72
2022-01-03 22:00:00+00:00,2,300.41,0.0,10.8,82.25,1.56,1.14,2.11,0.7
2022-01-03 23:00:00+00:00,2,300.41,0.0,10.54,82.25,1.43,1.14,1.93,0.7
2022-01-04 00:00:00+00:00,2,300.41,0.0,9.94,80.11,1.37,1.23,2.05,0.72
2022-01-04 01:00:00+00:00,1,297.07,0.0,9.25,77.25,1.46,1.33,2.27,0.74
2022-01-04 02:00:00+00:00,1,300.41,0.0,9.77,74.39,2.06,1.45,2.47,0.74
2022-01-04 03:00:00+00:00,1,303.75,0.0,11.14,70.81,2.32,1.7,2.77,0.8
2022-01-04 04:00:00+00:00,1,303.75,0.0,10.45,71.53,1.94,1.66,2.63,0.79
2022-01-04 05:00:00+00:00,1,297.07,0.0,8.31,75.1,1.53,1.4,2.16,0.74
2022-01-04 06:00:00+00:00,1,293.73,0.0,7.03,77.25,1.34,1.25,1.86,0.72
2022-01-04 07:00:00+00:00,1,287.06,0.0,6.0,78.68,1.25,1.04,1.57,0.65
2022-01-04 08:00:00+00:00,2,283.72,0.0,5.44,80.82,1.27,0.92,1.46,0.59
2022-01-04 09:00:00+00:00,2,283.72,0.0,5.44,81.54,1.37,0.93,1.53,0.57
2022-01-04 10:00:00+00:00,2,283.72,0.0,5.65,82.25,1.55,0.99,1.66,0.57
2022-01-04 11:00:00+00:00,2,290.39,0.0,6.43,82.25,1.8,1.2,1.97,0.62
2022-01-04 12:00:00+00:00,1,300.41,0.0,9.34,78.68,2.18,1.92,3.02,0.82
2022-01-04 13:00:00+00:00,1,317.1,0.05,13.54,72.96,2.59,2.64,4.07,1.08
2022-01-04 14:00:00+00:00,1,323.77,0.99,14.05,70.81,2.68,2.84,4.44,1.16
2022-01-04 15:00:00+00:00,1,320.43,2.18,12.17,72.96,2.56,2.8,4.47,1.12
2022-01-04 16:00:00+00:00,1,317.1,2.68,10.2,74.39,2.47,2.61,4.28,1.01
2022-01-04 17:00:00+00:00,1,320.43,2.93,10.02,74.39,2.77,2.71,4.4,1.0
2022-01-04 18:00:00+00:00,1,330.45,3.27,11.48,72.96,3.31,3.24,5.03,1.09
2022-01-04 19:00:00+00:00,1,353.81,4.19,16.62,68.66,3.87,4.58,6.94,1.42
2022-01-04 20:00:00+00:00,1,390.53,4.75,25.7,57.22,4.35,6.31,9.62,1.92
2022-01-04 21:00:00+00:00,1,420.57,2.77,35.64,44.35,4.17,6.97,10.98,2.22
2022-01-04 22:00:00+00:00,2,447.27,0.33,45.93,31.83,4.05,7.24,11.49,2.47
2022-01-04 23:00:00+00:00,2,453.95,0.21,46.61,29.33,3.87,7.33,11.52,2.53
2022-01-05 00:00:00+00:00,2,447.27,0.15,41.81,31.47,3.64,7.52,11.48,2.44
2022-01-05 01:00:00+00:00,1,433.92,0.1,36.67,35.05,3.67,7.84,11.57,2.28
2022-01-05 02:00:00+00:00,1,423.91,0.05,32.9,39.7,3.46,8.09,11.73,2.09
2022-01-05 03:00:00+00:00,1,407.22,0.03,30.16,45.78,3.28,8.15,11.74,1.85
2022-01-05 04:00:00+00:00,1,387.19,0.01,27.08,50.78,3.37,7.85,11.24,1.5
2022-01-05 05:00:00+00:00,1,367.16,0.0,23.65,55.79,3.87,7.71,10.68,1.03
2022-01-05 06:00:00+00:00,1,360.49,0.0,22.28,57.94,4.53,9.19,11.97,0.64
2022-01-05 07:00:00+00:00,2,360.49,0.0,20.91,59.37,4.77,11.32,14.1,0.29
2022-01-05 08:00:00+00:00,2,350.48,0.0,18.51,62.23,4.59,12.03,14.74,0.13
2022-01-05 09:00:00+00:00,2,333.79,0.0,15.25,66.52,4.17,10.38,12.82,0.12
2022-01-05 10:00:00+00:00,1,303.75,0.0,11.82,72.96,3.4,6.47,8.82,0.21
2022-01-05 11:00:00+00:00,1,283.72,0.0,10.02,77.25,2.38,3.04,5.6,0.3
2022-01-05 12:00:00+00:00,1,287.06,0.0,12.17,76.53,1.83,2.38,5.46,0.36
2022-01-05 13:00:00+00:00,1,300.41,0.01,16.96,72.24,1.94,2.76,5.98,0.46
2022-01-05 14:00:00+00:00,1,313.76,0.11,21.08,68.66,2.0,3.06,6.22,0.5
2022-01-05 15:00:00+00:00,1,317.1,0.35,22.62,67.23,2.09,3.18,6.06,0.5
2022-01-05 16:00:00+00:00,1,310.42,0.55,19.88,68.66,2.03,2.84,5.2,0.43
2022-01-05 17:00:00+00:00,1,293.73,0.64,15.94,70.1,1.94,2.41,4.08,0.35
2022-01-05 18:00:00+00:00,1,280.38,0.54,13.71,70.1,1.8,2.18,3.43,0.29
2022-01-05 19:00:00+00:00,1,277.04,0.35,12.34,69.38,1.53,2.07,2.98,0.25
2022-01-05 20:00:00+00:00,1,280.38,0.2,13.37,66.52,1.62,2.19,3.0,0.27
2022-01-05 21:00:00+00:00,1,287.06,0.06,14.74,65.09,1.62,2.27,3.04,0.28
2022-01-05 22:00:00+00:00,1,290.39,0.0,15.94,64.37,1.59,2.3,3.06,0.3
2022-01-05 23:00:00+00:00,1,290.39,0.0,15.08,65.8,1.4,2.15,2.91,0.29
2022-01-06 00:00:00+00:00,1,283.72,0.0,12.85,67.23,1.22,2.02,2.8,0.26
2022-01-06 01:00:00+00:00,1,293.73,0.0,14.05,62.23,1.28,2.45,3.62,0.32
2022-01-06 02:00:00+00:00,1,310.42,0.0,16.28,55.79,1.22,3.18,4.88,0.36
2022-01-06 03:00:00+00:00,1,323.77,0.01,17.82,50.07,1.1,4.01,6.02,0.34
2022-01-06 04:00:00+00:00,1,340.46,0.02,19.88,44.35,1.1,4.91,7.04,0.28
2022-01-06 05:00:00+00:00,1,347.14,0.02,21.59,38.98,1.24,6.19,8.15,0.15
2022-01-06 06:00:00+00:00,1,363.83,0.02,25.7,32.9,1.49,8.63,10.7,0.08
2022-01-06 07:00:00+00:00,2,377.18,0.03,29.47,28.25,1.58,11.06,13.37,0.06
2022-01-06 08:00:00+00:00,2,380.52,0.02,29.13,28.61,1.55,12.33,14.81,0.06
2022-01-06 09:00:00+00:00,2,373.84,0.02,26.39,32.19,1.53,12.35,15.11,0.06
2022-01-06 10:00:00+00:00,2,367.16,0.01,22.96,37.19,1.62,11.81,14.55,0.08
2022-01-06 11:00:00+00:00,2,357.15,0.01,19.36,43.99,1.79,10.26,12.59,0.1
2022-01-06 12:00:00+00:00,1,350.48,0.01,16.79,50.07,2.0,8.42,10.4,0.16
2022-01-06 13:00:00+00:00,1,347.14,0.03,14.74,53.64,2.29,7.29,8.99,0.19
2022-01-06 14:00:00+00:00,1,343.8,0.52,13.54,55.79,2.26,5.82,7.27,0.27
2022-01-06 15:00:00+00:00,1,333.79,0.7,10.97,58.65,2.21,4.0,5.09,0.38
2022-01-06 16:00:00+00:00,1,323.77,0.7,7.63,61.51,2.35,2.02,2.72,0.46
2022-01-06 17:00:00+00:00,1,320.43,0.92,6.0,62.23,2.59,0.94,1.52,0.49
2022-01-06 18:00:00+00:00,1,317.1,1.01,5.23,62.23,2.68,0.69,1.23,0.46
2022-01-06 19:00:00+00:00,1,323.77,1.66,6.51,60.08,2.86,0.92,1.77,0.59
2022-01-06 20:00:00+00:00,1,340.46,1.61,10.2,54.36,2.83,1.42,2.72,0.76
2022-01-06 21:00:00+00:00,1,357.15,0.73,15.77,47.21,2.74,2.0,3.7,0.95
2022-01-06 22:00:00+00:00,1,383.85,0.09,22.62,37.19,2.59,2.66,4.78,1.17
2022-01-06 23:00:00+00:00,1,410.56,0.18,27.76,29.68,2.47,3.31,5.86,1.46
2022-01-07 00:00:00+00:00,1,427.25,0.28,30.16,25.39,2.62,4.04,7.0,1.69
2022-01-07 01:00:00+00:00,1,433.92,0.35,31.53,22.89,2.86,4.74,8.05,1.87
2022-01-07 02:00:00+00:00,1,433.92,0.31,31.19,22.35,3.04,5.03,8.53,1.88
2022-01-07 03:00:00+00:00,1,433.92,0.32,31.19,21.82,3.16,5.33,9.04,1.9
2022-01-07 04:00:00+00:00,1,433.92,0.33,31.53,20.21,3.34,5.54,9.33,1.92
2022-01-07 05:00:00+00:00,1,420.57,0.19,29.47,20.74,3.46,4.99,8.44,1.68
2022-01-07 06:00:00+00:00,1,410.56,0.13,27.76,21.99,3.64,4.66,7.64,1.49
2022-01-07 07:00:00+00:00,1,403.88,0.1,26.39,23.25,4.05,4.57,6.97,1.3
2022-01-07 08:00:00+00:00,1,407.22,0.11,27.08,22.89,5.36,4.88,6.75,1.22
2022-01-07 09:00:00+00:00,1,410.56,0.1,27.42,23.6,6.97,5.24,6.74,1.16
2022-01-07 10:00:00+00:00,1,383.85,0.05,21.76,29.68,7.33,4.05,5.02,0.74
2022-01-07 11:00:00+00:00,1,373.84,0.07,19.36,30.04,6.68,3.5,4.27,0.57
2022-01-07 12:00:00+00:00,1,380.52,0.16,20.91,27.18,6.08,3.66,4.59,0.72
2022-01-07 13:00:00+00:00,1,397.21,0.32,23.99,23.6,5.78,4.04,5.12,0.9
2022-01-07 14:00:00+00:00,1,400.54,0.78,23.31,22.35,5.25,3.87,4.94,0.85
2022-01-07 15:00:00+00:00,1,390.53,1.69,19.02,26.11,4.89,3.23,4.14,0.67
2022-01-07 16:00:00+00:00,1,370.5,2.29,13.71,32.19,5.19,2.41,3.01,0.45
2022-01-07 17:00:00+00:00,1,353.81,2.15,10.8,36.48,4.71,1.83,2.31,0.39
2022-01-07 18:00:00+00:00,1,343.8,1.84,9.0,40.41,4.11,1.25,1.65,0.35
2022-01-07 19:00:00+00:00,1,340.46,1.37,7.88,42.92,3.55,0.85,1.21,0.32
2022-01-07 20:00:00+00:00,1,340.46,0.81,8.57,41.48,3.46,0.72,1.09,0.31
2022-01-07 21:00:00+00:00,1,337.12,0.27,9.42,40.41,3.67,0.63,1.01,0.3
2022-01-07 22:00:00+00:00,1,337.12,0.04,10.45,39.7,3.78,0.65,1.08,0.34
2022-01-07 23:00:00+00:00,1,343.8,0.04,11.48,38.27,3.87,0.75,1.3,0.41
2022-01-08 00:00:00+00:00,1,347.14,0.05,12.17,37.91,3.93,0.91,1.62,0.49
2022-01-08 01:00:00+00:00,1,350.48,0.04,12.17,38.98,3.93,1.1,1.94,0.55
2022-01-08 02:00:00+00:00,1,347.14,0.03,11.31,41.84,3.87,1.16,1.99,0.5
2022-01-08 03:00:00+00:00,1,340.46,0.02,10.71,44.35,3.93,1.26,2.05,0.46
2022-01-08 04:00:00+00:00,1,330.45,0.01,9.0,48.64,3.28,1.09,1.77,0.42
2022-01-08 05:00:00+00:00,1,317.1,0.01,6.6,52.21,2.29,0.64,1.12,0.35
2022-01-08 06:00:00+00:00,1,307.08,0.0,5.23,53.64,1.73,0.5,0.82,0.3
2022-01-08 07:00:00+00:00,1,303.75,0.0,4.71,53.64,1.49,0.5,0.78,0.3
2022-01-08 08:00:00+00:00,1,303.75,0.0,4.33,53.64,1.31,0.5,0.77,0.3
2022-01-08 09:00:00+00:00,1,300.41,0.0,3.9,55.07,1.13,0.5,0.77,0.3
2022-01-08 10:00:00+00:00,1,300.41,0.0,3.51,57.22,1.0,0.5,0.78,0.3
2022-01-08 11:00:00+00:00,1,300.41,0.0,3.51,60.08,0.92,0.5,0.82,0.31
2022-01-08 12:00:00+00:00,1,303.75,0.01,4.97,60.08,0.92,0.72,1.26,0.42
2022-01-08 13:00:00+00:00,1,317.1,0.07,7.63,57.94,1.04,1.11,1.88,0.59
2022-01-08 14:00:00+00:00,1,323.77,1.1,8.48,57.94,1.22,1.45,2.45,0.73
2022-01-08 15:00:00+00:00,1,327.11,2.49,7.54,60.8,1.42,1.8,3.01,0.83
2022-01-08 16:00:00+00:00,1,327.11,3.35,7.03,62.94,1.61,2.16,3.51,0.87
2022-01-08 17:00:00+00:00,1,330.45,3.91,7.37,63.66,1.83,2.64,4.09,0.91
2022-01-08 18:00:00+00:00,1,333.79,4.3,8.48,64.37,2.06,3.23,4.73,0.97
2022-01-08 19:00:00+00:00,1,333.79,4.08,9.68,65.8,2.12,3.55,5.11,0.97
2022-01-08 20:00:00+00:00,1,330.45,2.99,11.31,65.8,2.21,3.53,5.07,0.95
2022-01-08 21:00:00+00:00,1,327.11,1.27,13.54,65.09,2.29,3.25,4.74,0.94
2022-01-08 22:00:00+00:00,1,417.23,0.37,35.99,39.34,2.38,6.47,9.3,2.12
2022-01-08 23:00:00+00:00,2,567.44,4.86,61.69,7.51,2.26,12.57,18.04,3.96
2022-01-09 00:00:00+00:00,2,674.25,15.65,60.32,0.59,1.94,18.33,26.83,5.26
2022-01-09 01:00:00+00:00,3,741.0,24.36,54.84,0.09,1.74,23.74,34.91,6.21
2022-01-09 02:00:00+00:00,4,767.71,26.6,52.78,0.04,1.61,26.39,38.84,6.46
2022-01-09 03:00:00+00:00,4,774.38,25.03,55.52,0.05,1.45,27.33,40.13,6.33
2022-01-09 04:00:00+00:00,4,734.33,17.66,61.69,0.28,1.37,25.26,36.56,5.57
2022-01-09 05:00:00+00:00,2,620.84,5.36,60.32,3.53,1.42,19.17,27.08,3.93
2022-01-09 06:00:00+00:00,2,520.71,0.47,45.24,17.7,1.53,14.04,19.05,2.66
2022-01-09 07:00:00+00:00,1,397.21,0.01,22.96,50.07,2.38,8.18,10.42,1.42
2022-01-09 08:00:00+00:00,1,357.15,0.0,16.28,60.8,2.65,6.33,7.81,0.94
2022-01-09 09:00:00+00:00,1,327.11,0.0,11.82,67.23,2.44,5.31,6.46,0.48
2022-01-09 10:00:00+00:00,1,313.76,0.0,9.85,70.1,2.62,5.53,6.72,0.15
2022-01-09 11:00:00+00:00,1,313.76,0.0,9.94,67.95,3.13,6.89,8.58,0.07
2022-01-09 12:00:00+00:00,1,307.08,0.0,9.94,69.38,2.56,5.97,7.71,0.16
2022-01-09 13:00:00+00:00,1,293.73,0.0,8.65,77.96,1.64,2.93,4.32,0.28
2022-01-09 14:00:00+00:00,2,287.06,0.04,8.48,82.25,1.48,1.68,3.01,0.36
2022-01-09 15:00:00+00:00,2,283.72,0.19,8.31,83.68,1.43,1.21,2.58,0.38
2022-01-09 16:00:00+00:00,2,280.38,0.37,7.63,84.4,1.43,1.16,2.51,0.33
2022-01-09 17:00:00+00:00,2,277.04,0.49,6.94,85.12,1.42,1.15,2.32,0.29
2022-01-09 18:00:00+00:00,2,273.7,0.55,6.25,85.83,1.36,1.14,2.07,0.27
2022-01-09 19:00:00+00:00,2,270.37,0.45,6.08,86.55,1.39,1.18,1.76,0.24
2022-01-09 20:00:00+00:00,2,273.7,0.25,6.85,84.4,1.45,1.48,1.88,0.19
2022-01-09 21:00:00+00:00,2,280.38,0.08,8.4,81.54,1.45,1.86,2.21,0.15
2022-01-09 22:00:00+00:00,1,290.39,0.0,10.97,76.53,1.52,2.26,2.62,0.16
2022-01-09 23:00:00+00:00,1,303.75,0.0,14.05,69.38,1.62,2.7,3.1,0.18
2022-01-10 00:00:00+00:00,1,317.1,0.0,16.96,60.8,1.65,3.25,3.73,0.2
2022-01-10 01:00:00+00:00,1,330.45,0.0,19.54,53.64,1.61,3.9,4.44,0.19
2022-01-10 02:00:00+00:00,1,343.8,0.0,21.08,48.64,1.53,4.28,4.8,0.16
2022-01-10 03:00:00+00:00,1,343.8,0.0,19.88,47.92,1.43,4.23,4.72,0.14
2022-01-10 04:00:00+00:00,1,337.12,0.0,15.25,50.78,1.34,3.46,3.92,0.15
2022-01-10 05:00:00+00:00,1,320.43,0.0,9.85,57.22,1.25,2.57,2.9,0.11
2022-01-10 06:00:00+00:00,1,310.42,0.0,7.03,60.8,1.3,1.77,2.04,0.1
2022-01-10 07:00:00+00:00,1,310.42,0.0,5.83,57.94,1.85,0.93,1.15,0.11
2022-01-10 08:00:00+00:00,1,313.76,0.0,5.1,56.51,2.12,0.5,0.72,0.13
2022-01-10 09:00:00+00:00,1,307.08,0.0,4.11,60.08,1.89,0.5,0.73,0.15
2022-01-10 10:00:00+00:00,1,290.39,0.0,3.17,65.09,1.3,0.5,0.73,0.16
2022-01-10 11:00:00+00:00,1,280.38,0.0,2.96,71.53,0.92,0.5,0.78,0.18
2022-01-10 12:00:00+00:00,1,283.72,0.0,4.33,75.1,0.81,0.5,0.99,0.29
2022-01-10 13:00:00+00:00,1,290.39,0.05,6.0,77.25,0.8,0.62,1.27,0.4
2022-01-10 14:00:00+00:00,2,290.39,0.47,5.65,80.11,0.78,0.62,1.29,0.41
2022-01-10 15:00:00+00:00,2,287.06,0.8,4.28,82.25,0.76,0.55,1.16,0.37
2022-01-10 16:00:00+00:00,2,280.38,0.85,3.08,82.97,0.72,0.5,1.0,0.3
2022-01-10 17:00:00+00:00,2,277.04,0.79,2.53,82.25,0.69,0.5,0.91,0.25
2022-01-10 18:00:00+00:00,2,273.7,0.71,2.31,81.54,0.65,0.5,0.85,0.23
2022-01-10 19:00:00+00:00,2,277.04,0.54,2.53,80.82,0.63,0.5,0.84,0.22
2022-01-10 20:00:00+00:00,1,280.38,0.31,3.38,79.39,0.72,0.5,0.88,0.25
2022-01-10 21:00:00+00:00,1,283.72,0.09,4.28,77.96,0.77,0.5,0.93,0.28
2022-01-10 22:00:00+00:00,1,293.73,0.01,7.88,72.24,1.18,0.66,1.43,0.47
2022-01-10 23:00:00+00:00,1,310.42,0.0,11.31,67.23,1.48,1.07,2.19,0.67
2022-01-11 00:00:00+00:00,1,327.11,0.01,14.22,63.66,1.8,1.64,3.08,0.86
2022-01-11 01:00:00+00:00,1,337.12,0.01,15.77,60.8,2.18,2.17,3.84,1.01
2022-01-11 02:00:00+00:00,1,323.77,0.01,13.71,63.66,2.12,2.0,3.59,0.9
2022-01-11 03:00:00+00:00,1,307.08,0.0,10.8,66.52,1.91,1.58,2.87,0.72
2022-01-11 04:00:00+00:00,1,293.73,0.0,7.8,70.81,1.76,1.0,1.79,0.51
2022-01-11 05:00:00+00:00,1,290.39,0.0,6.51,72.24,1.73,0.77,1.28,0.43
2022-01-11 06:00:00+00:00,1,290.39,0.0,5.57,71.53,1.58,0.63,1.0,0.36
2022-01-11 07:00:00+00:00,1,287.06,0.0,4.07,67.95,1.12,0.5,0.79,0.27
2022-01-11 08:00:00+00:00,1,283.72,0.0,3.38,64.37,0.83,0.5,0.76,0.23
2022-01-11 09:00:00+00:00,1,283.72,0.0,3.68,64.37,0.9,0.5,0.76,0.25
2022-01-11 10:00:00+00:00,1,287.06,0.0,4.16,66.52,1.1,0.5,0.78,0.32
2022-01-11 11:00:00+00:00,1,293.73,0.0,4.46,67.23,1.31,0.5,0.82,0.39
2022-01-11 12:00:00+00:00,1,303.75,0.01,6.0,63.66,1.7,0.75,1.22,0.52
2022-01-11 13:00:00+00:00,1,317.1,0.05,8.23,57.94,2.24,1.03,1.63,0.66
2022-01-11 14:00:00+00:00,1,317.1,0.8,7.88,55.07,2.41,1.08,1.73,0.69
