dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,527.38,9.5,42.16,0.04,1.21,9.37,9.7,0.06
2022-01-01 01:00:00+00:00,1,460.62,3.1,37.36,0.48,1.09,8.09,8.44,0.08
2022-01-01 02:00:00+00:00,1,423.91,1.2,36.67,0.61,1.1,8.37,8.82,0.08
2022-01-01 03:00:00+00:00,2,453.95,2.46,42.84,0.14,1.36,11.16,11.71,0.07
2022-01-01 04:00:00+00:00,2,527.38,10.39,48.67,0.0,1.65,15.22,15.74,0.06
2022-01-01 05:00:00+00:00,2,594.14,22.8,50.72,0.0,1.7,18.37,18.81,0.05
2022-01-01 06:00:00+00:00,2,627.52,33.53,50.04,0.0,1.62,19.69,20.03,0.05
2022-01-01 07:00:00+00:00,2,634.19,38.89,47.98,0.0,1.65,18.96,19.24,0.04
2022-01-01 08:00:00+00:00,2,607.49,37.1,46.61,0.0,1.88,17.21,17.47,0.01
2022-01-01 09:00:00+00:00,2,554.08,27.72,46.61,0.0,2.12,15.5,15.79,0.0
2022-01-01 10:00:00+00:00,2,487.33,14.75,47.98,0.02,2.44,13.67,13.97,0.0
2022-01-01 11:00:00+00:00,2,433.92,6.43,49.35,0.2,2.56,12.51,12.8,0.0
2022-01-01 12:00:00+00:00,2,390.53,0.91,43.53,3.35,2.12,10.16,10.44,0.0
2022-01-01 13:00:00+00:00,1,350.48,0.04,28.45,13.23,1.43,6.63,6.84,0.0
2022-01-01 14:00:00+00:00,1,320.43,0.09,16.62,24.32,1.0,3.76,3.9,0.02
2022-01-01 15:00:00+00:00,1,297.07,0.19,10.54,32.54,0.83,2.35,2.45,0.03
2022-01-01 16:00:00+00:00,1,283.72,0.33,8.14,35.76,0.84,1.88,1.98,0.03
2022-01-01 17:00:00+00:00,1,280.38,0.49,8.31,34.69,1.06,2.07,2.18,0.02
2022-01-01 18:00:00+00:00,1,290.39,0.84,10.37,30.4,1.34,2.59,2.7,0.0
2022-01-01 19:00:00+00:00,1,307.08,1.47,12.51,25.39,1.18,3.4,3.53,0.0
2022-01-01 20:00:00+00:00,1,323.77,1.05,15.59,19.49,0.92,4.27,4.41,0.0
2022-01-01 21:00:00+00:00,1,337.12,0.45,18.51,15.56,0.82,5.05,5.19,0.0
2022-01-01 22:00:00+00:00,1,363.83,0.45,20.91,8.67,0.39,5.88,6.02,0.09
2022-01-01 23:00:00+00:00,1,397.21,1.37,22.28,2.91,0.29,6.75,6.91,0.19
2022-01-02 00:00:00+00:00,1,413.89,2.57,22.62,0.99,0.4,7.55,7.73,0.32
2022-01-02 01:00:00+00:00,1,407.22,2.85,22.28,0.77,0.5,7.93,8.13,0.36
