dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,1,407.22,0.19,33.93,12.7,2.62,8.89,10.22,0.0
2022-01-01 01:00:00+00:00,1,363.83,0.02,20.22,25.03,2.06,6.61,7.82,0.0
2022-01-01 02:00:00+00:00,1,353.81,0.01,15.08,30.4,1.97,6.82,8.13,0.0
2022-01-01 03:00:00+00:00,1,370.5,0.02,16.28,26.46,1.88,7.79,9.24,0.0
2022-01-01 04:00:00+00:00,1,407.22,0.15,23.65,14.48,1.88,9.45,10.89,0.05
2022-01-01 05:00:00+00:00,2,453.95,0.52,32.22,5.81,2.09,11.4,12.99,0.15
2022-01-01 06:00:00+00:00,2,467.3,0.51,34.96,4.25,2.32,11.67,13.29,0.18
2022-01-01 07:00:00+00:00,2,453.95,0.22,32.56,5.99,2.18,10.69,12.11,0.15
2022-01-01 08:00:00+00:00,1,427.25,0.1,27.42,8.67,1.77,9.71,10.95,0.1
2022-01-01 09:00:00+00:00,1,403.88,0.04,21.76,12.7,1.53,8.69,9.77,0.08
2022-01-01 10:00:00+00:00,1,377.18,0.02,16.45,16.99,1.34,7.61,8.48,0.05
2022-01-01 11:00:00+00:00,1,343.8,0.01,10.97,22.89,1.18,6.07,6.73,0.04
2022-01-01 12:00:00+00:00,1,313.76,0.01,7.54,29.33,1.03,4.67,5.37,0.05
2022-01-01 13:00:00+00:00,1,287.06,0.01,6.25,35.05,0.92,3.56,4.44,0.03
2022-01-01 14:00:00+00:00,1,280.38,0.03,6.25,39.34,0.78,3.06,4.1,0.02
2022-01-01 15:00:00+00:00,1,277.04,0.1,6.25,43.63,0.75,2.89,3.89,0.04
2022-01-01 16:00:00+00:00,1,280.38,0.18,6.6,46.49,0.86,2.72,3.45,0.04
2022-01-01 17:00:00+00:00,1,280.38,0.22,7.03,43.99,0.91,2.49,2.95,0.05
2022-01-01 18:00:00+00:00,1,280.38,0.24,8.05,40.41,1.21,2.3,2.64,0.06
2022-01-01 19:00:00+00:00,1,293.73,0.32,13.54,33.62,1.86,3.02,3.48,0.12
2022-01-01 20:00:00+00:00,1,327.11,0.3,21.08,25.75,2.18,4.34,5.16,0.22
2022-01-01 21:00:00+00:00,1,373.84,0.24,29.47,16.27,2.15,5.85,7.05,0.32
2022-01-01 22:00:00+00:00,1,433.92,1.45,37.7,5.05,1.7,7.78,9.31,0.37
2022-01-01 23:00:00+00:00,1,500.68,8.49,39.07,0.22,1.19,9.95,11.8,0.44
2022-01-02 00:00:00+00:00,2,574.11,19.67,34.62,0.0,0.94,12.26,14.25,0.53
2022-01-02 01:00:00+00:00,2,600.81,25.7,29.47,0.0,0.86,13.63,15.29,0.49
2022-01-02 02:00:00+00:00,2,580.79,24.14,25.7,0.0,0.81,13.55,14.73,0.33
2022-01-02 03:00:00+00:00,2,547.41,19.67,23.65,0.0,0.83,12.81,13.68,0.22
2022-01-02 04:00:00+00:00,2,514.03,14.08,22.96,0.0,0.83,11.49,12.16,0.14
2022-01-02 05:00:00+00:00,2,480.65,9.28,22.96,0.0,0.79,10.16,10.71,0.08
2022-01-02 06:00:00+00:00,1,453.95,4.97,24.33,0.03,0.88,8.96,9.46,0.05
2022-01-02 07:00:00+00:00,1,427.25,1.87,25.02,0.67,1.0,7.87,8.31,0.03
2022-01-02 08:00:00+00:00,1,410.56,0.47,23.65,2.7,1.04,7.18,7.52,0.01
2022-01-02 09:00:00+00:00,1,407.22,0.14,22.62,4.56,1.1,7.31,7.58,0.0
2022-01-02 10:00:00+00:00,1,433.92,0.08,24.33,4.69,1.22,8.46,8.67,0.0
2022-01-02 11:00:00+00:00,1,460.62,0.14,27.08,3.17,1.16,9.22,9.43,0.0
2022-01-02 12:00:00+00:00,1,460.62,0.3,26.73,3.44,1.07,9.08,9.35,0.0
2022-01-02 13:00:00+00:00,1,447.27,0.36,23.99,5.72,1.01,8.3,8.67,0.0
2022-01-02 14:00:00+00:00,1,440.6,0.69,22.28,7.42,0.97,7.95,8.41,0.01
2022-01-02 15:00:00+00:00,1,460.62,2.12,22.62,7.33,0.97,8.61,9.14,0.07
2022-01-02 16:00:00+00:00,1,487.33,4.53,23.65,6.35,1.0,9.91,10.49,0.12
2022-01-02 17:00:00+00:00,2,507.35,5.92,25.7,4.65,0.98,10.87,11.53,0.14
2022-01-02 18:00:00+00:00,2,514.03,6.65,26.73,3.44,1.0,11.18,11.97,0.15
2022-01-02 19:00:00+00:00,2,507.35,6.71,26.39,2.48,1.09,10.58,11.56,0.16
2022-01-02 20:00:00+00:00,1,494.0,5.98,27.08,1.63,1.22,9.34,10.23,0.14
2022-01-02 21:00:00+00:00,1,494.0,5.14,28.45,0.66,1.49,7.66,8.29,0.12
2022-01-02 22:00:00+00:00,1,487.33,2.24,26.05,1.41,1.46,5.44,5.95,0.12
2022-01-02 23:00:00+00:00,1,447.27,0.21,17.99,12.16,1.55,2.94,3.41,0.14
2022-01-03 00:00:00+00:00,1,397.21,0.03,12.34,25.39,1.68,1.68,2.11,0.16
2022-01-03 01:00:00+00:00,1,367.16,0.01,9.68,36.48,1.59,1.18,1.59,0.23
2022-01-03 02:00:00+00:00,1,340.46,0.0,7.03,47.92,1.43,0.84,1.23,0.3
2022-01-03 03:00:00+00:00,1,320.43,0.0,5.27,55.79,1.53,0.6,0.98,0.5
2022-01-03 04:00:00+00:00,1,310.42,0.0,4.54,59.37,1.62,0.5,0.85,0.61
2022-01-03 05:00:00+00:00,1,303.75,0.0,4.24,61.51,1.77,0.5,0.8,0.61
2022-01-03 06:00:00+00:00,1,293.73,0.0,3.77,67.95,1.8,0.5,0.75,0.53
2022-01-03 07:00:00+00:00,1,283.72,0.0,3.51,74.39,1.89,0.52,0.77,0.45
2022-01-03 08:00:00+00:00,1,280.38,0.0,3.9,72.96,2.35,0.75,1.01,0.4
2022-01-03 09:00:00+00:00,1,287.06,0.0,4.41,69.38,2.83,1.08,1.37,0.39
2022-01-03 10:00:00+00:00,1,293.73,0.0,4.97,66.52,3.28,1.43,1.76,0.42
2022-01-03 11:00:00+00:00,1,300.41,0.0,5.65,64.37,3.58,1.82,2.23,0.46
2022-01-03 12:00:00+00:00,1,310.42,0.0,7.11,62.23,3.67,2.31,2.88,0.56
2022-01-03 13:00:00+00:00,1,317.1,0.01,8.14,62.23,3.31,2.45,3.15,0.61
2022-01-03 14:00:00+00:00,1,310.42,0.08,7.45,66.52,2.59,1.96,2.61,0.55
2022-01-03 15:00:00+00:00,1,297.07,0.17,5.48,72.24,1.71,1.09,1.62,0.45
2022-01-03 16:00:00+00:00,1,277.04,0.19,3.21,79.39,1.03,0.5,0.86,0.32
2022-01-03 17:00:00+00:00,2,267.03,0.2,2.57,84.4,0.72,0.5,0.78,0.24
2022-01-03 18:00:00+00:00,2,267.03,0.21,2.61,86.55,0.71,0.5,0.76,0.22
2022-01-03 19:00:00+00:00,2,267.03,0.12,2.87,87.26,0.73,0.5,0.77,0.23
2022-01-03 20:00:00+00:00,2,267.03,0.04,3.08,87.98,0.72,0.5,0.78,0.22
2022-01-03 21:00:00+00:00,2,267.03,0.01,3.21,87.98,0.71,0.5,0.78,0.22
2022-01-03 22:00:00+00:00,2,270.37,0.0,3.43,87.98,0.7,0.5,0.79,0.23
2022-01-03 23:00:00+00:00,2,273.7,0.0,3.73,87.26,0.7,0.5,0.82,0.27
2022-01-04 00:00:00+00:00,2,280.38,0.0,3.98,85.83,0.66,0.5,0.85,0.31
2022-01-04 01:00:00+00:00,2,283.72,0.0,4.03,85.12,0.69,0.5,0.88,0.34
2022-01-04 02:00:00+00:00,2,283.72,0.0,3.9,84.4,0.75,0.5,0.93,0.36
2022-01-04 03:00:00+00:00,2,283.72,0.0,3.68,83.68,0.67,0.56,1.02,0.36
2022-01-04 04:00:00+00:00,2,280.38,0.0,3.13,82.97,0.5,0.51,0.94,0.36
2022-01-04 05:00:00+00:00,2,280.38,0.0,2.83,82.25,0.48,0.5,0.88,0.33
2022-01-04 06:00:00+00:00,2,283.72,0.0,3.26,80.11,0.66,0.55,0.93,0.33
2022-01-04 07:00:00+00:00,1,287.06,0.0,3.6,77.25,0.83,0.69,1.08,0.36
2022-01-04 08:00:00+00:00,1,290.39,0.0,3.81,75.1,0.97,0.79,1.19,0.4
2022-01-04 09:00:00+00:00,1,287.06,0.0,3.81,74.39,1.07,0.81,1.21,0.41
2022-01-04 10:00:00+00:00,1,287.06,0.0,3.81,75.1,1.18,0.8,1.22,0.43
2022-01-04 11:00:00+00:00,1,287.06,0.0,4.24,76.53,1.34,0.85,1.34,0.47
2022-01-04 12:00:00+00:00,1,297.07,0.0,6.08,76.53,1.58,1.2,1.89,0.63
2022-01-04 13:00:00+00:00,1,310.42,0.03,9.17,75.1,1.85,1.67,2.6,0.83
2022-01-04 14:00:00+00:00,1,317.1,0.71,10.54,75.1,2.21,1.98,3.03,0.92
2022-01-04 15:00:00+00:00,1,317.1,1.66,10.02,77.96,2.62,2.2,3.3,0.9
2022-01-04 16:00:00+00:00,2,307.08,2.04,8.65,82.25,2.89,2.1,3.06,0.74
2022-01-04 17:00:00+00:00,2,307.08,2.4,9.17,81.54,3.19,2.29,3.22,0.68
2022-01-04 18:00:00+00:00,1,313.76,2.46,9.42,79.39,3.93,2.49,3.36,0.62
2022-01-04 19:00:00+00:00,1,337.12,3.13,13.02,72.24,4.59,4.03,5.22,0.83
2022-01-04 20:00:00+00:00,1,397.21,5.25,28.79,58.65,6.44,9.24,11.56,1.55
2022-01-04 21:00:00+00:00,2,460.62,4.81,53.47,41.13,8.46,14.44,17.8,2.15
2022-01-04 22:00:00+00:00,2,440.6,0.47,57.58,36.12,6.97,11.68,14.85,1.95
2022-01-04 23:00:00+00:00,2,397.21,0.01,43.53,41.48,4.59,6.89,9.46,1.57
2022-01-05 00:00:00+00:00,2,393.87,0.01,40.1,40.41,5.19,5.91,8.41,1.66
2022-01-05 01:00:00+00:00,1,400.54,0.01,38.04,40.41,5.36,6.26,8.79,1.79
2022-01-05 02:00:00+00:00,1,410.56,0.01,37.7,40.05,5.36,7.05,9.64,1.9
2022-01-05 03:00:00+00:00,1,420.57,0.01,38.39,40.05,5.54,7.98,10.74,2.03
2022-01-05 04:00:00+00:00,1,413.89,0.0,36.67,42.56,5.48,8.33,11.19,1.92
2022-01-05 05:00:00+00:00,1,390.53,0.0,32.22,47.92,5.36,8.26,11.02,1.42
2022-01-05 06:00:00+00:00,1,370.5,0.0,27.76,53.64,5.36,8.98,11.67,0.84
2022-01-05 07:00:00+00:00,1,357.15,0.0,23.65,57.94,5.25,9.73,12.32,0.4
2022-01-05 08:00:00+00:00,1,350.48,0.0,20.22,59.37,4.89,9.71,12.15,0.21
2022-01-05 09:00:00+00:00,1,333.79,0.0,16.28,63.66,4.41,8.35,10.59,0.15
2022-01-05 10:00:00+00:00,1,310.42,0.0,12.68,69.38,3.55,5.69,7.75,0.17
2022-01-05 11:00:00+00:00,1,287.06,0.0,10.11,74.39,2.53,2.81,4.81,0.23
2022-01-05 12:00:00+00:00,1,273.7,0.0,9.51,77.25,2.15,1.69,3.82,0.26
2022-01-05 13:00:00+00:00,1,270.37,0.0,10.54,76.53,1.94,1.59,3.72,0.21
2022-01-05 14:00:00+00:00,1,273.7,0.08,13.37,74.39,1.97,1.73,3.83,0.23
2022-01-05 15:00:00+00:00,1,283.72,0.33,16.62,71.53,2.18,2.0,4.07,0.27
2022-01-05 16:00:00+00:00,1,287.06,0.44,17.48,69.38,2.5,2.1,3.83,0.27
2022-01-05 17:00:00+00:00,1,277.04,0.45,14.05,70.1,2.47,1.86,2.96,0.18
2022-01-05 18:00:00+00:00,1,267.03,0.37,11.82,70.1,2.32,1.7,2.38,0.13
2022-01-05 19:00:00+00:00,1,267.03,0.28,12.0,68.66,2.15,1.85,2.58,0.14
2022-01-05 20:00:00+00:00,1,273.7,0.16,13.19,67.23,2.06,2.02,2.77,0.17
2022-01-05 21:00:00+00:00,1,280.38,0.04,14.05,65.8,1.97,2.1,2.8,0.17
2022-01-05 22:00:00+00:00,1,283.72,0.0,14.39,65.8,1.88,2.14,2.76,0.17
2022-01-05 23:00:00+00:00,1,293.73,0.0,16.11,65.09,1.85,2.2,2.81,0.19
2022-01-06 00:00:00+00:00,1,300.41,0.0,17.82,64.37,1.85,2.37,3.03,0.23
2022-01-06 01:00:00+00:00,1,307.08,0.0,19.36,61.51,1.86,2.77,3.7,0.3
2022-01-06 02:00:00+00:00,1,323.77,0.0,22.28,55.07,2.21,3.76,5.14,0.4
2022-01-06 03:00:00+00:00,1,337.12,0.0,23.99,48.64,2.26,4.86,6.49,0.39
2022-01-06 04:00:00+00:00,1,350.48,0.0,25.02,42.92,1.94,5.47,7.23,0.34
2022-01-06 05:00:00+00:00,1,363.83,0.0,27.08,36.48,1.76,6.55,8.4,0.25
2022-01-06 06:00:00+00:00,1,373.84,0.0,28.1,31.47,1.8,7.72,9.67,0.18
2022-01-06 07:00:00+00:00,1,380.52,0.01,29.47,27.89,1.94,9.28,11.3,0.13
2022-01-06 08:00:00+00:00,2,390.53,0.01,31.87,24.68,2.09,11.38,13.66,0.12
2022-01-06 09:00:00+00:00,2,397.21,0.01,33.59,23.6,2.15,13.27,15.81,0.11
2022-01-06 10:00:00+00:00,2,393.87,0.01,31.19,26.11,2.0,13.59,16.22,0.13
2022-01-06 11:00:00+00:00,2,380.52,0.0,25.02,32.19,1.74,12.3,14.8,0.13
2022-01-06 12:00:00+00:00,2,367.16,0.0,19.71,40.41,1.74,10.61,12.63,0.15
2022-01-06 13:00:00+00:00,1,357.15,0.04,15.94,49.35,2.15,8.81,10.31,0.17
2022-01-06 14:00:00+00:00,1,353.81,0.92,13.54,54.36,2.24,6.94,8.12,0.25
2022-01-06 15:00:00+00:00,1,347.14,1.75,9.94,60.08,2.29,4.66,5.54,0.34
2022-01-06 16:00:00+00:00,1,333.79,1.63,6.51,64.37,2.44,2.09,2.63,0.44
2022-01-06 17:00:00+00:00,1,327.11,1.41,5.06,66.52,2.65,1.03,1.43,0.47
2022-01-06 18:00:00+00:00,1,323.77,1.3,4.63,66.52,2.8,0.82,1.19,0.44
2022-01-06 19:00:00+00:00,1,327.11,1.54,6.0,64.37,2.74,1.0,1.49,0.53
2022-01-06 20:00:00+00:00,1,343.8,1.72,9.94,57.94,2.89,1.51,2.25,0.74
2022-01-06 21:00:00+00:00,1,363.83,0.96,14.91,50.07,2.98,1.99,2.95,0.9
2022-01-06 22:00:00+00:00,1,383.85,0.02,19.54,42.2,2.83,2.37,3.51,1.04
2022-01-06 23:00:00+00:00,1,410.56,0.03,23.31,35.05,2.89,2.91,4.25,1.27
2022-01-07 00:00:00+00:00,1,433.92,0.05,26.73,29.33,3.4,3.68,5.27,1.6
2022-01-07 01:00:00+00:00,1,447.27,0.07,27.76,26.11,3.58,4.46,6.33,1.8
2022-01-07 02:00:00+00:00,1,460.62,0.08,28.1,23.96,3.46,5.27,7.45,1.95
2022-01-07 03:00:00+00:00,1,467.3,0.09,28.1,22.35,3.28,5.96,8.47,2.01
2022-01-07 04:00:00+00:00,1,467.3,0.1,28.45,20.74,3.13,6.49,9.23,2.01
2022-01-07 05:00:00+00:00,1,467.3,0.07,27.76,19.85,2.98,6.42,9.16,1.84
2022-01-07 06:00:00+00:00,1,453.95,0.04,25.36,20.74,2.83,6.01,8.66,1.6
2022-01-07 07:00:00+00:00,1,433.92,0.02,22.28,22.35,2.86,5.41,7.66,1.23
2022-01-07 08:00:00+00:00,1,400.54,0.01,16.96,26.82,3.04,3.99,5.51,0.74
2022-01-07 09:00:00+00:00,1,353.81,0.0,10.28,35.76,3.46,1.99,2.69,0.32
2022-01-07 10:00:00+00:00,1,317.1,0.0,5.74,43.27,3.73,0.61,0.81,0.14
2022-01-07 11:00:00+00:00,1,307.08,0.0,4.37,45.42,3.16,0.5,0.62,0.08
2022-01-07 12:00:00+00:00,1,310.42,0.0,4.28,45.06,2.74,0.5,0.68,0.07
2022-01-07 13:00:00+00:00,1,313.76,0.01,4.63,45.06,2.53,0.56,0.79,0.08
2022-01-07 14:00:00+00:00,1,327.11,0.06,5.48,43.63,2.53,0.7,0.96,0.13
2022-01-07 15:00:00+00:00,1,357.15,0.44,8.74,38.27,2.89,1.16,1.4,0.21
2022-01-07 16:00:00+00:00,1,367.16,0.98,8.83,38.27,3.1,1.56,1.76,0.22
2022-01-07 17:00:00+00:00,1,353.81,1.06,7.03,41.48,2.98,1.21,1.37,0.21
2022-01-07 18:00:00+00:00,1,340.46,0.98,6.08,45.78,2.92,0.7,0.84,0.2
2022-01-07 19:00:00+00:00,1,333.79,0.74,5.57,50.07,2.92,0.5,0.64,0.17
2022-01-07 20:00:00+00:00,1,340.46,0.5,7.11,47.92,3.55,0.52,0.68,0.18
2022-01-07 21:00:00+00:00,1,347.14,0.22,9.77,40.05,4.35,0.58,0.76,0.21
2022-01-07 22:00:00+00:00,1,340.46,0.02,10.8,39.7,4.41,0.57,0.78,0.25
2022-01-07 23:00:00+00:00,1,340.46,0.01,10.54,42.2,4.17,0.56,0.81,0.28
2022-01-08 00:00:00+00:00,1,340.46,0.01,10.2,41.84,4.11,0.6,0.89,0.32
2022-01-08 01:00:00+00:00,1,340.46,0.01,9.85,41.13,3.93,0.66,1.04,0.37
2022-01-08 02:00:00+00:00,1,337.12,0.01,9.51,41.84,3.81,0.73,1.18,0.43
2022-01-08 03:00:00+00:00,1,337.12,0.0,9.6,42.56,3.93,0.98,1.46,0.44
2022-01-08 04:00:00+00:00,1,347.14,0.0,11.31,41.84,4.77,1.63,2.11,0.43
2022-01-08 05:00:00+00:00,1,353.81,0.0,12.34,41.48,5.36,2.18,2.6,0.38
2022-01-08 06:00:00+00:00,1,340.46,0.0,9.6,45.78,4.17,1.74,2.05,0.31
2022-01-08 07:00:00+00:00,1,320.43,0.0,6.17,50.78,2.62,0.94,1.16,0.28
2022-01-08 08:00:00+00:00,1,310.42,0.0,4.5,55.07,1.86,0.56,0.75,0.27
2022-01-08 09:00:00+00:00,1,307.08,0.0,3.9,57.22,1.61,0.5,0.68,0.28
2022-01-08 10:00:00+00:00,1,303.75,0.0,3.38,59.37,1.36,0.5,0.67,0.28
2022-01-08 11:00:00+00:00,1,300.41,0.0,3.21,60.8,1.18,0.5,0.68,0.28
2022-01-08 12:00:00+00:00,1,300.41,0.0,3.94,61.51,1.15,0.5,0.75,0.34
2022-01-08 13:00:00+00:00,1,307.08,0.04,5.48,60.8,1.24,0.71,1.09,0.44
2022-01-08 14:00:00+00:00,1,313.76,0.74,6.08,61.51,1.39,0.93,1.43,0.51
2022-01-08 15:00:00+00:00,1,313.76,1.7,5.44,62.94,1.59,1.13,1.71,0.55
2022-01-08 16:00:00+00:00,1,313.76,2.35,5.06,65.09,1.74,1.4,2.04,0.57
