dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,694.27,31.29,54.15,0.0,2.41,17.06,18.61,0.36
2022-01-01 01:00:00+00:00,2,640.87,23.92,56.21,0.0,2.86,17.2,18.9,0.32
2022-01-01 02:00:00+00:00,2,634.19,24.36,56.89,0.0,3.04,18.94,20.84,0.33
2022-01-01 03:00:00+00:00,3,634.19,26.15,58.26,0.0,2.98,20.97,23.02,0.32
2022-01-01 04:00:00+00:00,3,647.54,27.49,58.95,0.0,2.8,22.24,24.36,0.31
2022-01-01 05:00:00+00:00,3,647.54,27.27,58.26,0.0,2.56,22.14,24.16,0.26
2022-01-01 06:00:00+00:00,3,620.84,23.47,55.52,0.0,2.26,20.67,22.46,0.19
2022-01-01 07:00:00+00:00,2,587.46,18.55,51.41,0.0,2.0,18.73,20.27,0.16
2022-01-01 08:00:00+00:00,2,540.73,13.19,46.61,0.0,1.86,16.48,17.82,0.14
2022-01-01 09:00:00+00:00,2,480.65,7.1,41.13,0.05,1.8,13.82,14.92,0.12
2022-01-01 10:00:00+00:00,2,423.91,2.29,34.27,0.95,1.65,10.85,11.68,0.1
2022-01-01 11:00:00+00:00,1,377.18,0.42,25.02,6.35,1.36,8.37,9.02,0.1
2022-01-01 12:00:00+00:00,1,353.81,0.17,17.82,15.56,1.1,6.91,7.56,0.16
2022-01-01 13:00:00+00:00,1,343.8,0.1,14.91,23.96,0.97,5.69,6.3,0.24
2022-01-01 14:00:00+00:00,1,347.14,0.15,15.25,26.46,0.98,4.92,5.5,0.3
2022-01-01 15:00:00+00:00,1,350.48,0.38,16.79,25.03,1.12,4.82,5.46,0.33
2022-01-01 16:00:00+00:00,1,357.15,0.89,18.51,21.46,1.16,5.04,5.82,0.34
2022-01-01 17:00:00+00:00,1,367.16,1.56,19.88,16.99,1.13,5.46,6.39,0.35
2022-01-01 18:00:00+00:00,1,377.18,2.37,20.91,12.52,1.1,5.8,6.82,0.38
2022-01-01 19:00:00+00:00,1,380.52,4.14,19.54,12.16,1.0,5.78,6.92,0.38
2022-01-01 20:00:00+00:00,1,373.84,2.93,21.25,9.12,0.9,5.64,6.82,0.32
2022-01-01 21:00:00+00:00,1,377.18,2.18,23.65,5.63,0.92,5.89,7.03,0.29
2022-01-01 22:00:00+00:00,1,407.22,4.25,26.73,1.5,0.95,6.82,7.86,0.3
2022-01-01 23:00:00+00:00,1,460.62,11.51,26.73,0.06,0.86,8.5,9.54,0.37
2022-01-02 00:00:00+00:00,2,507.35,18.33,25.7,0.0,0.77,10.49,11.67,0.45
2022-01-02 01:00:00+00:00,2,567.44,27.27,24.33,0.0,0.71,13.86,15.36,0.96
2022-01-02 02:00:00+00:00,2,634.19,37.1,22.62,0.0,0.9,17.79,19.53,1.95
2022-01-02 03:00:00+00:00,3,680.92,44.26,21.93,0.0,1.16,20.82,22.55,2.94
2022-01-02 04:00:00+00:00,3,700.95,48.73,21.93,0.0,1.4,22.46,23.95,3.64
2022-01-02 05:00:00+00:00,3,674.25,46.49,20.22,0.0,1.34,21.29,22.37,2.98
2022-01-02 06:00:00+00:00,2,594.14,37.1,16.96,0.0,0.89,17.82,18.51,1.39
2022-01-02 07:00:00+00:00,2,500.68,23.47,14.91,0.0,0.51,13.61,14.03,0.28
2022-01-02 08:00:00+00:00,2,427.25,13.52,14.74,0.03,0.46,10.53,10.84,0.12
2022-01-02 09:00:00+00:00,1,383.85,5.98,16.11,0.22,0.54,8.21,8.45,0.07
2022-01-02 10:00:00+00:00,1,357.15,1.29,17.99,1.23,0.68,6.59,6.78,0.06
2022-01-02 11:00:00+00:00,1,350.48,0.8,17.65,1.72,0.63,6.15,6.36,0.07
2022-01-02 12:00:00+00:00,1,353.81,1.47,17.48,1.54,0.6,6.06,6.35,0.14
2022-01-02 13:00:00+00:00,1,367.16,2.6,17.31,1.06,0.6,5.96,6.39,0.22
2022-01-02 14:00:00+00:00,1,377.18,3.86,16.28,1.34,0.63,5.85,6.43,0.26
2022-01-02 15:00:00+00:00,1,383.85,4.86,14.91,3.0,0.71,5.73,6.47,0.27
2022-01-02 16:00:00+00:00,1,387.19,5.36,14.57,5.23,0.83,5.75,6.59,0.24
2022-01-02 17:00:00+00:00,1,380.52,5.03,14.22,6.97,0.82,5.65,6.57,0.22
2022-01-02 18:00:00+00:00,1,377.18,4.81,14.39,7.24,0.74,5.4,6.28,0.21
2022-01-02 19:00:00+00:00,1,413.89,5.87,17.99,6.79,0.66,5.45,6.18,0.19
2022-01-02 20:00:00+00:00,1,467.3,4.81,23.65,6.62,0.74,4.75,5.27,0.19
2022-01-02 21:00:00+00:00,1,420.57,0.82,19.36,16.09,0.92,2.54,2.89,0.2
2022-01-02 22:00:00+00:00,1,343.8,0.02,9.34,36.84,1.07,0.97,1.21,0.2
2022-01-02 23:00:00+00:00,1,323.77,0.0,6.77,48.64,1.06,0.68,0.9,0.24
2022-01-03 00:00:00+00:00,1,320.43,0.0,6.43,55.07,1.03,0.71,0.95,0.3
2022-01-03 01:00:00+00:00,1,313.76,0.0,6.34,58.65,1.04,0.71,0.96,0.33
