dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,1,257.02,0.0,3.56,50.78,0.17,1.8,2.44,0.08
2022-01-01 01:00:00+00:00,1,250.34,0.0,2.31,50.78,0.11,1.71,2.43,0.02
2022-01-01 02:00:00+00:00,1,247.0,0.0,1.71,50.78,0.11,1.69,2.51,0.0
2022-01-01 03:00:00+00:00,1,247.0,0.0,1.95,51.5,0.22,1.89,2.75,0.0
2022-01-01 04:00:00+00:00,1,247.0,0.0,2.48,60.08,0.69,2.28,3.14,0.0
2022-01-01 05:00:00+00:00,1,247.0,0.0,2.72,62.23,0.77,2.4,3.22,0.0
2022-01-01 06:00:00+00:00,1,250.34,0.0,2.59,64.37,0.79,2.46,3.34,0.0
2022-01-01 07:00:00+00:00,1,250.34,0.0,2.59,65.09,0.83,2.54,3.54,0.0
2022-01-01 08:00:00+00:00,1,250.34,0.0,2.68,65.8,0.86,2.53,3.75,0.0
2022-01-01 09:00:00+00:00,1,250.34,0.0,2.63,67.95,0.86,2.39,3.81,0.0
2022-01-01 10:00:00+00:00,1,250.34,0.0,2.44,69.38,0.79,2.21,3.6,0.0
2022-01-01 11:00:00+00:00,1,250.34,0.0,2.21,70.1,0.7,2.13,3.49,0.0
2022-01-01 12:00:00+00:00,1,247.0,0.0,2.18,70.1,0.66,2.11,3.5,0.0
2022-01-01 13:00:00+00:00,1,247.0,0.0,2.31,68.66,0.6,2.02,3.16,0.0
2022-01-01 14:00:00+00:00,1,250.34,0.01,2.4,67.23,0.47,1.82,2.47,0.0
2022-01-01 15:00:00+00:00,1,250.34,0.04,2.21,66.52,0.37,1.62,2.01,0.0
2022-01-01 16:00:00+00:00,1,250.34,0.06,1.84,67.23,0.32,1.57,1.87,0.0
2022-01-01 17:00:00+00:00,1,250.34,0.07,1.63,67.95,0.32,1.66,1.97,0.0
2022-01-01 18:00:00+00:00,1,247.0,0.06,1.56,70.1,0.32,1.71,2.06,0.0
2022-01-01 19:00:00+00:00,1,243.66,0.07,1.59,71.53,0.34,1.77,2.17,0.0
2022-01-01 20:00:00+00:00,1,240.33,0.03,1.69,71.53,0.35,1.94,2.31,0.0
2022-01-01 21:00:00+00:00,1,243.66,0.01,1.86,70.1,0.35,2.19,2.52,0.0
2022-01-01 22:00:00+00:00,1,247.0,0.0,2.25,65.09,0.28,2.42,2.69,0.0
2022-01-01 23:00:00+00:00,1,253.68,0.0,2.74,58.65,0.19,2.53,2.78,0.0
2022-01-02 00:00:00+00:00,1,257.02,0.0,2.91,52.93,0.14,2.65,2.9,0.01
2022-01-02 01:00:00+00:00,1,260.35,0.0,3.0,49.35,0.11,2.81,3.06,0.04
2022-01-02 02:00:00+00:00,1,263.69,0.0,3.08,46.49,0.09,2.95,3.18,0.06
2022-01-02 03:00:00+00:00,1,263.69,0.0,3.04,44.35,0.09,3.01,3.28,0.06
2022-01-02 04:00:00+00:00,1,263.69,0.0,2.91,43.63,0.1,2.94,3.27,0.06
2022-01-02 05:00:00+00:00,1,260.35,0.0,2.83,43.27,0.11,2.81,3.22,0.05
2022-01-02 06:00:00+00:00,1,260.35,0.0,2.57,42.92,0.13,2.68,3.15,0.03
2022-01-02 07:00:00+00:00,1,257.02,0.0,2.03,42.2,0.13,2.46,2.94,0.01
2022-01-02 08:00:00+00:00,1,250.34,0.0,1.27,38.62,0.14,2.11,2.56,0.0
2022-01-02 09:00:00+00:00,1,243.66,0.0,3.21,32.54,0.31,2.73,3.29,0.0
2022-01-02 10:00:00+00:00,1,243.66,0.0,3.6,33.26,0.4,4.52,5.06,0.0
2022-01-02 11:00:00+00:00,1,233.65,0.0,2.31,35.76,0.33,4.97,5.45,0.0
2022-01-02 12:00:00+00:00,1,236.99,0.0,2.66,33.97,0.26,5.13,5.61,0.0
2022-01-02 13:00:00+00:00,1,250.34,0.01,3.94,30.04,0.23,4.13,4.5,0.01
2022-01-02 14:00:00+00:00,1,273.7,0.1,4.97,26.46,0.24,3.05,3.37,0.06
2022-01-02 15:00:00+00:00,1,310.42,0.51,6.43,22.17,0.28,3.24,3.58,0.08
2022-01-02 16:00:00+00:00,1,343.8,1.34,8.91,18.78,0.36,4.33,4.77,0.07
2022-01-02 17:00:00+00:00,1,363.83,1.9,10.37,17.7,0.4,5.08,5.52,0.07
2022-01-02 18:00:00+00:00,1,363.83,1.84,10.88,17.34,0.39,5.24,5.65,0.05
2022-01-02 19:00:00+00:00,1,357.15,1.87,10.28,18.06,0.37,5.27,5.65,0.01
2022-01-02 20:00:00+00:00,1,360.49,1.31,13.37,15.38,0.42,5.6,6.04,0.0
2022-01-02 21:00:00+00:00,1,373.84,0.73,19.54,11.44,0.66,6.99,7.66,0.0
2022-01-02 22:00:00+00:00,1,330.45,0.01,13.37,25.03,0.55,5.38,6.12,0.0
2022-01-02 23:00:00+00:00,1,350.48,0.0,17.65,22.71,0.82,7.61,8.34,0.0
2022-01-03 00:00:00+00:00,1,370.5,0.01,21.76,14.66,0.88,8.62,9.31,0.0
2022-01-03 01:00:00+00:00,1,397.21,0.91,28.1,3.62,1.1,7.63,8.51,0.03
2022-01-03 02:00:00+00:00,1,467.3,7.1,29.13,0.04,1.7,8.61,9.65,0.09
2022-01-03 03:00:00+00:00,1,467.3,2.74,28.79,0.74,1.53,5.55,6.3,0.12
2022-01-03 04:00:00+00:00,1,413.89,0.01,18.34,17.7,1.4,2.39,3.17,0.16
2022-01-03 05:00:00+00:00,1,347.14,0.0,9.17,41.84,1.3,1.19,2.06,0.21
2022-01-03 06:00:00+00:00,1,317.1,0.0,5.74,52.21,1.34,0.75,1.46,0.22
2022-01-03 07:00:00+00:00,1,323.77,0.0,4.37,49.35,1.33,0.59,1.1,0.16
2022-01-03 08:00:00+00:00,1,337.12,0.0,4.07,42.92,1.16,0.55,0.95,0.08
2022-01-03 09:00:00+00:00,1,320.43,0.0,2.78,49.35,0.98,0.5,0.89,0.04
2022-01-03 10:00:00+00:00,1,300.41,0.0,1.71,60.8,0.8,0.5,0.92,0.04
2022-01-03 11:00:00+00:00,1,290.39,0.0,1.32,67.23,0.77,0.5,1.03,0.08
2022-01-03 12:00:00+00:00,1,280.38,0.0,1.17,71.53,0.84,0.5,1.19,0.13
2022-01-03 13:00:00+00:00,1,280.38,0.0,1.03,73.67,0.84,0.5,1.19,0.13
2022-01-03 14:00:00+00:00,1,277.04,0.0,1.02,74.39,0.75,0.5,1.09,0.08
2022-01-03 15:00:00+00:00,1,270.37,0.01,0.79,78.68,0.57,0.5,1.14,0.04
2022-01-03 16:00:00+00:00,2,263.69,0.02,0.68,81.54,0.57,0.5,1.16,0.02
2022-01-03 17:00:00+00:00,2,260.35,0.02,0.74,81.54,0.58,0.5,1.12,0.02
2022-01-03 18:00:00+00:00,2,263.69,0.02,0.86,80.11,0.55,0.5,1.1,0.01
2022-01-03 19:00:00+00:00,1,260.35,0.02,0.84,79.39,0.48,0.5,1.07,0.01
2022-01-03 20:00:00+00:00,2,260.35,0.0,0.64,80.11,0.39,0.5,1.06,0.01
2022-01-03 21:00:00+00:00,2,257.02,0.0,0.43,83.68,0.28,0.5,1.06,0.01
2022-01-03 22:00:00+00:00,2,250.34,0.0,0.27,89.41,0.2,0.5,1.11,0.0
2022-01-03 23:00:00+00:00,2,250.34,0.0,0.24,91.55,0.18,0.5,1.19,0.0
2022-01-04 00:00:00+00:00,2,250.34,0.0,0.27,90.12,0.18,0.55,1.35,0.0
2022-01-04 01:00:00+00:00,2,253.68,0.0,0.27,89.41,0.21,0.64,1.67,0.0
2022-01-04 02:00:00+00:00,2,253.68,0.0,0.23,90.12,0.23,0.65,1.73,0.0
2022-01-04 03:00:00+00:00,2,253.68,0.0,0.24,90.12,0.27,0.54,1.45,0.01
2022-01-04 04:00:00+00:00,2,260.35,0.0,0.49,86.55,0.38,0.5,1.3,0.03
2022-01-04 05:00:00+00:00,2,263.69,0.0,0.88,84.4,0.49,0.5,1.21,0.06
2022-01-04 06:00:00+00:00,2,263.69,0.0,0.97,85.12,0.51,0.5,1.14,0.08
2022-01-04 07:00:00+00:00,2,263.69,0.0,0.79,86.55,0.47,0.5,1.13,0.1
2022-01-04 08:00:00+00:00,2,263.69,0.0,0.69,86.55,0.47,0.5,1.06,0.11
2022-01-04 09:00:00+00:00,2,260.35,0.0,0.64,87.26,0.43,0.5,0.94,0.12
2022-01-04 10:00:00+00:00,2,260.35,0.0,0.71,90.12,0.44,0.5,0.88,0.11
2022-01-04 11:00:00+00:00,2,260.35,0.0,0.88,90.84,0.51,0.5,0.83,0.11
2022-01-04 12:00:00+00:00,2,260.35,0.0,0.87,90.84,0.54,0.5,0.76,0.12
2022-01-04 13:00:00+00:00,2,260.35,0.0,0.85,90.84,0.51,0.5,0.71,0.13
2022-01-04 14:00:00+00:00,2,263.69,0.03,1.33,88.69,0.57,0.5,0.7,0.16
2022-01-04 15:00:00+00:00,2,270.37,0.18,2.12,86.55,0.76,0.5,0.74,0.21
2022-01-04 16:00:00+00:00,2,277.04,0.57,3.08,84.4,1.07,0.59,0.91,0.25
