dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,547.41,21.01,48.67,0.04,3.07,17.77,21.41,0.58
2022-01-01 01:00:00+00:00,2,480.65,9.61,40.44,0.41,3.28,13.67,16.7,0.42
2022-01-01 02:00:00+00:00,2,500.68,9.39,39.76,0.22,3.61,14.65,17.76,0.62
2022-01-01 03:00:00+00:00,2,560.76,13.08,42.84,0.02,4.11,17.57,20.92,0.89
2022-01-01 04:00:00+00:00,2,580.79,12.52,43.87,0.05,4.17,18.24,21.67,0.94
2022-01-01 05:00:00+00:00,2,534.06,6.71,40.44,0.49,3.99,15.1,17.94,0.67
2022-01-01 06:00:00+00:00,2,480.65,1.75,35.3,3.71,3.81,11.97,14.16,0.41
2022-01-01 07:00:00+00:00,2,453.95,0.64,30.85,6.62,3.01,10.82,12.66,0.31
2022-01-01 08:00:00+00:00,2,447.27,0.77,28.45,5.63,2.41,10.61,12.26,0.31
2022-01-01 09:00:00+00:00,2,433.92,0.94,26.73,4.74,2.29,10.32,11.87,0.32
2022-01-01 10:00:00+00:00,1,417.23,0.99,25.36,4.74,2.47,9.58,11.02,0.32
2022-01-01 11:00:00+00:00,1,393.87,1.06,23.99,5.36,2.56,8.73,10.11,0.35
2022-01-01 12:00:00+00:00,1,393.87,2.43,26.39,3.84,2.53,8.86,10.47,0.62
2022-01-01 13:00:00+00:00,1,387.19,2.68,29.47,4.65,2.32,8.14,9.94,0.77
2022-01-01 14:00:00+00:00,1,377.18,1.79,30.16,9.21,2.12,6.95,8.83,0.78
2022-01-01 15:00:00+00:00,1,363.83,1.48,26.73,18.06,2.18,5.92,7.67,0.7
2022-01-01 16:00:00+00:00,1,343.8,1.24,21.93,27.54,2.8,4.66,6.01,0.57
2022-01-01 17:00:00+00:00,1,337.12,1.06,21.93,31.47,3.87,4.36,5.5,0.55
2022-01-01 18:00:00+00:00,1,337.12,0.73,20.91,33.97,4.05,4.5,5.54,0.54
2022-01-01 19:00:00+00:00,1,343.8,0.67,21.25,32.9,3.13,4.71,5.97,0.69
2022-01-01 20:00:00+00:00,1,380.52,0.79,28.45,21.99,2.8,5.91,7.7,0.91
2022-01-01 21:00:00+00:00,1,423.91,1.42,36.33,10.55,2.89,7.35,9.63,1.11
2022-01-01 22:00:00+00:00,2,507.35,9.61,43.87,1.35,2.86,10.19,13.17,1.57
2022-01-01 23:00:00+00:00,2,660.9,33.08,43.87,0.0,2.68,15.6,19.29,2.22
2022-01-02 00:00:00+00:00,3,827.79,59.9,41.13,0.0,2.59,22.93,27.17,2.98
2022-01-02 01:00:00+00:00,4,961.3,79.57,39.07,0.0,2.65,30.4,34.6,3.39
2022-01-02 02:00:00+00:00,4,1028.06,92.09,37.36,0.0,2.71,35.58,39.53,2.98
2022-01-02 03:00:00+00:00,4,1041.41,94.77,35.64,0.0,2.5,37.27,40.9,2.37
2022-01-02 04:00:00+00:00,4,988.01,87.62,34.27,0.0,2.26,34.64,37.67,1.66
2022-01-02 05:00:00+00:00,4,867.84,68.84,32.56,0.0,1.94,27.39,29.34,0.83
2022-01-02 06:00:00+00:00,2,700.95,42.92,29.47,0.0,1.68,18.77,19.88,0.39
