dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,480.65,5.03,46.61,0.25,1.4,8.99,9.9,0.13
2022-01-01 01:00:00+00:00,2,440.6,1.56,42.5,2.66,1.39,9.37,10.05,0.07
2022-01-01 02:00:00+00:00,1,427.25,0.52,38.39,6.62,1.28,9.13,9.73,0.05
2022-01-01 03:00:00+00:00,1,423.91,0.37,36.33,8.05,1.19,8.85,9.44,0.05
2022-01-01 04:00:00+00:00,1,423.91,0.39,35.3,7.33,1.06,8.64,9.24,0.05
2022-01-01 05:00:00+00:00,1,423.91,0.32,33.59,6.71,0.87,8.37,8.93,0.04
2022-01-01 06:00:00+00:00,1,417.23,0.17,30.5,6.88,0.74,8.18,8.7,0.03
2022-01-01 07:00:00+00:00,1,407.22,0.12,27.76,7.42,0.63,7.94,8.43,0.03
2022-01-01 08:00:00+00:00,1,397.21,0.1,23.99,8.67,0.51,7.69,8.17,0.03
2022-01-01 09:00:00+00:00,1,380.52,0.07,19.36,11.27,0.44,7.14,7.61,0.03
2022-01-01 10:00:00+00:00,1,363.83,0.05,15.08,14.84,0.4,6.38,6.84,0.04
2022-01-01 11:00:00+00:00,1,343.8,0.04,11.48,19.49,0.39,5.68,6.16,0.05
2022-01-01 12:00:00+00:00,1,330.45,0.06,10.28,23.6,0.4,5.24,5.79,0.08
2022-01-01 13:00:00+00:00,1,317.1,0.06,10.11,27.18,0.42,4.52,5.06,0.13
2022-01-01 14:00:00+00:00,1,307.08,0.12,10.11,28.61,0.42,3.78,4.26,0.15
2022-01-01 15:00:00+00:00,1,293.73,0.24,9.25,31.47,0.42,3.12,3.52,0.13
2022-01-01 16:00:00+00:00,1,270.37,0.25,7.11,40.41,0.42,2.01,2.26,0.1
2022-01-01 17:00:00+00:00,1,260.35,0.22,6.17,45.06,0.48,1.44,1.64,0.09
2022-01-01 18:00:00+00:00,1,263.69,0.19,5.83,45.78,0.51,1.54,1.72,0.08
2022-01-01 19:00:00+00:00,1,263.69,0.27,5.83,42.92,0.46,1.79,2.03,0.09
2022-01-01 20:00:00+00:00,1,270.37,0.2,7.11,38.27,0.54,2.35,2.68,0.1
2022-01-01 21:00:00+00:00,1,283.72,0.09,10.11,32.54,0.74,3.08,3.56,0.12
2022-01-01 22:00:00+00:00,1,343.8,1.05,22.96,13.95,0.51,4.68,5.36,0.22
2022-01-01 23:00:00+00:00,1,427.25,8.83,29.82,0.87,0.31,6.88,7.83,0.34
2022-01-02 00:00:00+00:00,1,473.98,16.99,26.39,0.06,0.31,8.79,10.1,0.52
2022-01-02 01:00:00+00:00,2,514.03,22.8,23.99,0.01,0.42,11.07,12.69,0.91
2022-01-02 02:00:00+00:00,2,560.76,30.85,22.96,0.0,0.59,14.22,15.89,1.46
2022-01-02 03:00:00+00:00,2,620.84,40.68,22.96,0.0,0.83,17.93,19.53,2.18
2022-01-02 04:00:00+00:00,2,647.54,46.04,22.62,0.0,0.86,19.85,21.12,2.15
2022-01-02 05:00:00+00:00,2,600.81,39.34,21.08,0.0,0.46,17.36,18.07,0.63
2022-01-02 06:00:00+00:00,2,500.68,23.25,20.22,0.01,0.23,12.3,12.67,0.14
2022-01-02 07:00:00+00:00,1,373.84,1.58,22.96,3.26,0.54,6.66,6.89,0.05
2022-01-02 08:00:00+00:00,1,370.5,0.46,23.31,3.53,0.66,6.44,6.69,0.06
2022-01-02 09:00:00+00:00,1,400.54,1.69,26.05,0.93,1.06,7.62,7.85,0.06
2022-01-02 10:00:00+00:00,1,410.56,3.35,27.42,0.17,1.73,8.26,8.44,0.05
2022-01-02 11:00:00+00:00,1,397.21,2.71,27.08,0.33,1.65,7.9,8.1,0.06
2022-01-02 12:00:00+00:00,1,393.87,2.93,25.36,0.51,1.37,7.63,7.96,0.13
2022-01-02 13:00:00+00:00,1,403.88,4.64,24.33,0.36,1.18,7.73,8.27,0.21
2022-01-02 14:00:00+00:00,1,417.23,6.98,22.62,0.87,1.13,7.95,8.68,0.27
2022-01-02 15:00:00+00:00,1,427.25,9.28,20.91,2.03,1.3,8.33,9.23,0.28
2022-01-02 16:00:00+00:00,1,420.57,9.28,20.73,2.77,1.52,8.53,9.45,0.23
2022-01-02 17:00:00+00:00,1,407.22,8.49,20.39,3.62,1.4,8.1,8.93,0.19
2022-01-02 18:00:00+00:00,1,380.52,6.54,18.16,4.2,1.06,6.97,7.58,0.16
2022-01-02 19:00:00+00:00,1,353.81,3.41,14.57,6.08,0.69,5.11,5.48,0.11
2022-01-02 20:00:00+00:00,1,380.52,2.01,17.14,6.88,0.68,3.67,3.97,0.1
2022-01-02 21:00:00+00:00,1,433.92,1.52,23.65,5.05,0.8,3.85,4.14,0.11
2022-01-02 22:00:00+00:00,1,480.65,1.31,28.79,3.04,0.88,5.07,5.33,0.13
2022-01-02 23:00:00+00:00,1,473.98,0.61,25.36,7.24,0.86,4.68,4.93,0.14
2022-01-03 00:00:00+00:00,1,407.22,0.09,15.42,21.28,0.83,2.6,2.86,0.13
2022-01-03 01:00:00+00:00,1,347.14,0.01,7.8,37.19,0.84,1.1,1.35,0.15
2022-01-03 02:00:00+00:00,1,320.43,0.0,5.27,50.78,0.79,0.67,0.92,0.21
2022-01-03 03:00:00+00:00,1,303.75,0.0,4.54,61.51,0.86,0.55,0.79,0.3
2022-01-03 04:00:00+00:00,1,293.73,0.0,4.24,68.66,1.06,0.5,0.71,0.31
2022-01-03 05:00:00+00:00,1,283.72,0.0,4.07,72.24,1.31,0.5,0.67,0.29
2022-01-03 06:00:00+00:00,1,277.04,0.0,3.9,73.67,1.43,0.5,0.65,0.29
2022-01-03 07:00:00+00:00,1,277.04,0.0,3.43,73.67,1.31,0.5,0.65,0.27
2022-01-03 08:00:00+00:00,1,277.04,0.0,3.08,73.67,1.18,0.5,0.65,0.28
2022-01-03 09:00:00+00:00,1,280.38,0.0,2.91,72.96,1.1,0.5,0.65,0.28
2022-01-03 10:00:00+00:00,1,280.38,0.0,2.87,72.96,1.04,0.5,0.66,0.29
2022-01-03 11:00:00+00:00,1,280.38,0.0,3.13,72.96,1.03,0.5,0.69,0.33
2022-01-03 12:00:00+00:00,1,287.06,0.0,4.84,70.81,1.1,0.73,1.05,0.47
2022-01-03 13:00:00+00:00,1,297.07,0.01,7.2,66.52,1.12,1.07,1.54,0.63
2022-01-03 14:00:00+00:00,1,300.41,0.1,7.88,64.37,1.04,1.15,1.69,0.7
2022-01-03 15:00:00+00:00,1,297.07,0.27,7.28,65.8,0.95,1.08,1.63,0.69
2022-01-03 16:00:00+00:00,1,293.73,0.41,6.43,69.38,1.09,0.93,1.43,0.63
2022-01-03 17:00:00+00:00,1,290.39,0.44,5.74,72.24,1.33,0.85,1.28,0.55
2022-01-03 18:00:00+00:00,1,290.39,0.49,6.17,72.24,1.48,1.05,1.52,0.55
2022-01-03 19:00:00+00:00,1,303.75,0.64,9.25,67.95,2.18,1.68,2.37,0.7
2022-01-03 20:00:00+00:00,1,310.42,0.5,12.68,63.66,3.1,2.26,3.16,0.82
2022-01-03 21:00:00+00:00,1,310.42,0.14,12.85,64.37,3.07,2.14,3.02,0.79
2022-01-03 22:00:00+00:00,1,300.41,0.01,11.14,68.66,2.59,1.67,2.4,0.69
2022-01-03 23:00:00+00:00,1,303.75,0.0,10.71,70.1,2.56,1.59,2.26,0.69
2022-01-04 00:00:00+00:00,1,310.42,0.0,10.88,66.52,2.68,2.01,2.73,0.82
2022-01-04 01:00:00+00:00,1,307.08,0.0,9.0,66.52,1.89,2.11,2.81,0.87
2022-01-04 02:00:00+00:00,1,293.73,0.0,6.51,74.39,0.93,1.56,2.17,0.75
2022-01-04 03:00:00+00:00,1,287.06,0.0,5.57,77.25,0.69,1.32,1.85,0.68
2022-01-04 04:00:00+00:00,1,283.72,0.0,4.97,76.53,0.7,1.27,1.72,0.66
2022-01-04 05:00:00+00:00,1,283.72,0.0,4.07,77.25,0.75,1.11,1.46,0.59
2022-01-04 06:00:00+00:00,1,280.38,0.0,3.47,78.68,0.8,1.02,1.29,0.51
2022-01-04 07:00:00+00:00,1,277.04,0.0,3.0,79.39,0.79,0.92,1.16,0.42
2022-01-04 08:00:00+00:00,2,273.7,0.0,2.68,80.11,0.78,0.8,1.02,0.36
2022-01-04 09:00:00+00:00,2,270.37,0.0,2.55,81.54,0.9,0.73,0.95,0.33
2022-01-04 10:00:00+00:00,2,270.37,0.0,2.61,82.97,1.03,0.72,0.95,0.33
2022-01-04 11:00:00+00:00,2,270.37,0.0,3.0,82.25,1.12,0.79,1.04,0.36
2022-01-04 12:00:00+00:00,1,280.38,0.0,4.63,79.39,1.21,1.09,1.45,0.5
2022-01-04 13:00:00+00:00,1,297.07,0.02,7.03,74.39,1.36,1.39,1.88,0.66
2022-01-04 14:00:00+00:00,1,303.75,0.53,7.71,72.24,1.45,1.47,2.02,0.71
2022-01-04 15:00:00+00:00,1,300.41,1.24,6.94,73.67,1.48,1.44,2.0,0.66
