dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,2,654.22,24.81,54.84,0.0,2.21,16.8,17.75,0.1
2022-01-01 01:00:00+00:00,2,700.95,32.63,51.41,0.0,1.25,18.99,19.93,0.1
2022-01-01 02:00:00+00:00,2,707.63,35.76,47.3,0.0,0.57,19.43,20.32,0.1
2022-01-01 03:00:00+00:00,2,687.6,33.97,44.55,0.0,0.27,18.22,18.99,0.1
2022-01-01 04:00:00+00:00,2,640.87,28.39,41.47,0.0,0.18,16.07,16.76,0.1
2022-01-01 05:00:00+00:00,2,600.81,23.25,38.39,0.0,0.17,14.41,15.09,0.08
2022-01-01 06:00:00+00:00,2,567.44,20.34,36.33,0.0,0.17,13.99,14.69,0.07
2022-01-01 07:00:00+00:00,2,554.08,19.22,35.64,0.0,0.2,14.35,15.07,0.06
2022-01-01 08:00:00+00:00,2,554.08,19.89,37.36,0.0,0.3,15.87,16.7,0.05
2022-01-01 09:00:00+00:00,2,567.44,21.01,42.5,0.0,0.57,17.78,18.74,0.05
2022-01-01 10:00:00+00:00,2,554.08,16.76,46.61,0.0,0.94,17.14,18.13,0.04
2022-01-01 11:00:00+00:00,2,500.68,10.06,44.55,0.01,1.0,14.31,15.09,0.04
2022-01-01 12:00:00+00:00,2,440.6,4.08,38.39,0.25,0.95,11.03,11.61,0.05
2022-01-01 13:00:00+00:00,1,380.52,0.73,27.76,4.07,0.88,7.44,7.82,0.05
2022-01-01 14:00:00+00:00,1,343.8,0.2,17.65,12.87,0.77,5.25,5.56,0.06
2022-01-01 15:00:00+00:00,1,327.11,0.22,12.17,20.38,0.74,4.36,4.65,0.08
2022-01-01 16:00:00+00:00,1,320.43,0.37,10.45,24.68,0.77,3.99,4.31,0.09
2022-01-01 17:00:00+00:00,1,323.77,0.52,11.48,25.75,0.87,3.95,4.32,0.09
2022-01-01 18:00:00+00:00,1,323.77,0.59,12.51,25.75,0.88,3.87,4.29,0.08
2022-01-01 19:00:00+00:00,1,323.77,1.05,12.0,23.25,0.6,3.73,4.26,0.07
2022-01-01 20:00:00+00:00,1,323.77,0.68,12.68,18.24,0.38,3.77,4.42,0.08
2022-01-01 21:00:00+00:00,1,330.45,0.35,14.57,13.23,0.32,4.07,4.81,0.09
2022-01-01 22:00:00+00:00,1,343.8,0.29,17.48,8.49,0.31,4.56,5.26,0.1
2022-01-01 23:00:00+00:00,1,360.49,0.55,19.71,4.6,0.29,4.99,5.53,0.1
