dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 00:00:00+00:00,1,350.48,0.0,9.17,43.99,1.58,5.08,6.37,0.0
2022-01-01 01:00:00+00:00,1,370.5,0.0,10.71,42.56,1.34,5.29,6.39,0.0
2022-01-01 02:00:00+00:00,1,363.83,0.0,10.11,42.56,1.13,4.85,5.76,0.0
2022-01-01 03:00:00+00:00,1,347.14,0.0,8.4,44.7,0.92,4.32,5.09,0.0
2022-01-01 04:00:00+00:00,1,333.79,0.0,6.43,47.92,0.72,3.95,4.66,0.0
2022-01-01 05:00:00+00:00,1,320.43,0.0,5.14,52.21,0.62,3.65,4.33,0.0
2022-01-01 06:00:00+00:00,1,307.08,0.0,4.46,56.51,0.6,3.39,4.13,0.0
2022-01-01 07:00:00+00:00,1,287.06,0.0,3.73,59.37,0.66,3.07,3.91,0.0
2022-01-01 08:00:00+00:00,1,270.37,0.0,3.26,60.08,0.76,2.92,3.85,0.0
2022-01-01 09:00:00+00:00,1,260.35,0.0,3.08,60.08,0.8,2.89,3.99,0.0
2022-01-01 10:00:00+00:00,1,257.02,0.0,2.83,62.94,0.75,2.73,3.89,0.0
2022-01-01 11:00:00+00:00,1,257.02,0.0,2.57,66.52,0.7,2.49,3.52,0.0
2022-01-01 12:00:00+00:00,1,257.02,0.0,2.57,67.95,0.69,2.34,3.23,0.0
2022-01-01 13:00:00+00:00,1,260.35,0.0,3.04,67.95,0.7,2.34,3.2,0.0
2022-01-01 14:00:00+00:00,1,263.69,0.02,3.77,67.23,0.69,2.4,3.09,0.0
2022-01-01 15:00:00+00:00,1,267.03,0.07,4.11,66.52,0.62,2.39,2.96,0.0
2022-01-01 16:00:00+00:00,1,267.03,0.13,3.81,65.8,0.5,2.19,2.57,0.0
2022-01-01 17:00:00+00:00,1,263.69,0.15,3.21,65.09,0.39,1.92,2.15,0.0
2022-01-01 18:00:00+00:00,1,260.35,0.13,2.66,65.09,0.35,1.84,1.99,0.0
2022-01-01 19:00:00+00:00,1,263.69,0.07,2.33,64.37,0.33,1.99,2.17,0.0
2022-01-01 20:00:00+00:00,1,263.69,0.03,2.33,63.66,0.32,2.15,2.42,0.0
2022-01-01 21:00:00+00:00,1,263.69,0.01,2.7,61.51,0.38,2.3,2.66,0.0
2022-01-01 22:00:00+00:00,1,263.69,0.0,3.6,57.22,0.51,2.61,3.07,0.0
2022-01-01 23:00:00+00:00,1,270.37,0.0,5.36,50.78,0.71,3.05,3.64,0.03
2022-01-02 00:00:00+00:00,1,283.72,0.0,7.71,42.2,1.01,3.5,4.28,0.06
2022-01-02 01:00:00+00:00,1,297.07,0.0,10.02,33.97,1.22,3.91,4.85,0.08
2022-01-02 02:00:00+00:00,1,310.42,0.0,12.0,27.18,1.13,4.25,5.23,0.09
2022-01-02 03:00:00+00:00,1,320.43,0.0,13.19,21.64,1.01,4.55,5.47,0.08
2022-01-02 04:00:00+00:00,1,323.77,0.0,13.37,17.52,0.93,4.62,5.37,0.06
2022-01-02 05:00:00+00:00,1,327.11,0.0,13.37,15.2,0.95,4.59,5.18,0.04
